csl.2.5.04.08	Iš H	Q000458
csl.2.5.04.09	Iš I	Q000459
csl.2.5.04.10	Iš J	Q000460
csl.2.5.04.11	Iš K	Q000461
csl.2.5.04.12	Iš L	Q000462
csl.2.5.04.13	Iš M	Q000463
csl.2.5.04.14	Iš N	Q000464
csl.2.5.04.15	Iš O	Q000465
csl.2.5.04.16	Iš P	Q000466
csl.2.5.04.17	Iš Q	Q000467
csl.2.5.04.18	Iš R	Q000468
csl.2.5.04.19	Iš S	Q000469
csl.2.5.04.20	Iš T	Q000470
csl.2.5.04.21	Iš U	Q000471
csl.2.5.04.22	Iš V	Q002368
csl.2.5.04.23	Iš W	Q000472
csl.2.5.04.24	Iš X	Q000473
csl.2.5.04.25	Iš Y	Q000474
csl.2.5.04.26	Iš Z	Q000475
csl.2.5.04.27	Iš A₁	Q000476
csl.2.5.04.28	Iš B₁	Q000477
csl.2.5.04.29	Iš C₁	Q000478
csl.2.5.04.30	Iš D₁	Q002369
csl.2.5.04.31	Iš E₁	Q000480
csl.2.5.04.99		Q000479
csl.2.5.05.01	Li A	Q000481
csl.2.5.05.02	Li B	Q000482
csl.2.5.05.03	Li C	Q000483
csl.2.5.05.04	Li D	Q000484
csl.2.5.05.05	Li E	Q000485
csl.2.5.05.06	Li F	Q000486
csl.2.5.05.07	Li G	Q000487
csl.2.5.05.08	Li H	Q000488
csl.2.5.05.09	Li I	Q000489
csl.2.5.05.99		Q002308
csl.2.5.06.01	Un A	Q000490
csl.2.5.06.02	Un B	Q000491
csl.2.5.06.03	Un C	Q000492
csl.2.5.06.04	Un D	Q000493
csl.2.5.06.05	Un E	Q000494
csl.2.5.06.06	Un F	Q000495
csl.2.5.06.07	Un G	Q000496
csl.2.5.07.01	Bs A	Q000497
csl.2.5.07.02	Bs B	Q000498
csl.2.5.10.01	Eb A	Q000499
csl.2.5.10.99		Q002309
csl.2.5.15.01	Di A	Q002370
csl.2.5.99		Q002371
csl.2.6.05.01	Gu A	Q000500
csl.2.6.09.01	Sd A	Q000502
csl.2.6.09.02	Sd B	Q000503
csl.2.6.09.03	Sd C	Q000504
csl.2.6.09.04	Sd D	Q000505
csl.2.6.09.05	Sd E	Q000506
csl.2.6.11.01	Sq A	Q000507
csl.2.6.14.01	Rs A	Q000508
csl.2.6.14.02	Rs B	Q000509
csl.2.6.14.03	Rs C	Q000510
csl.2.6.14.04	Rs D	Q000511
csl.2.6.14.05	Rs E	Q000512
csl.2.6.14.06	Rs F	Q000513
csl.2.6.14.07	Rs G	Q000514
csl.2.6.14.08	Rs H	Q000515
csl.2.6.14.99		Q000516
csl.2.6.99		Q002372
csl.2.7.1.01	Anm A	Q000517
csl.2.8.06.01	Hm A	Q000518
