aʾa[unmng]V/i	a-a	rr	a·a
du[all]V/i	du₆-du₆-du	RRR	du·du·du
du[build]V/t	du₁₁-du₁₁	RR	du·du
du[build]V/t	du₃-du₃	RR	du·du
du[build]V/t	du₃-du₃	RR	du·du
du[build]V/t	du₆-du₆	RR	du·du
du[build]V/t	du₈-du₈	RR	du·du
du[build]V/t	du₃-du₃	RR	du·du
du[go]V/i	du-du	RR	du·du
du[go]V/i	du₇-du₇	RR	du·du
du[go]V/i	du₈-du₈	RR	du·du
du[heap]V/t	du₈-du₈	RR	du·du
du[hold]V/t	du-du	RR	du·du
du[hold]V/t	du₃-du₃	RR	du·du
du[hold]V/t	du₈-du₈	RR	du·du
du[hold]V/t	du₉-du₉	RR	du·du
du[perfect]V/i	du₇-du₇	RR	du·du
du[perfect]V/i	du₇-du₇-du₇	RRR	du·du·du
du[plant]V/t	du₁₂-du₁₂	RR	du·du
du[plant]V/t	du₃-du₃	RR	du·du
du[play]V/t	du-du	RR	du·du
du[play]V/t	du₁₂-du₁₂	RR	du·du
du[push]V/t	du-du	RR	du·du
du[push]V/t	du₇-du₇	RR	du·du
du[push]V/t	du₇-du₇-du₇	RRR	du·du·du
du[push]V/t	du₇-du₇	RR	du·du
du[spread]V/t	du₃-du₃	RR	du·du
du[spread]V/t	du₈-du₈	RR	du·du
du[spread]V/t	du₈-du₈-du₈	RRR	du·du·du
du[suitable]V/i	du₇-du₇	RR	du·du
du[suitable]V/i	du₉-du₉	RR	du·du
du[whirl]V/i	du₇-du₇	RR	du·du
du[whirl]V/i	du₉-du₉	RR	du·du
dub[heap]V/t	dub-dub	RR	dub·dub
dub[heap]V/t	dub-dub-dub	RRR	dub·dub·dub
dub[heap]V/t	dub₂-dub₂	RR	dub·dub
dub[tremble]V/t	dub₂-dub₂	RR	dub·dub
dub[tremble]V/t	dub₂-dub₂	RR	dub·dub
dug[good]V/i	dug₃-dug₃	RR	dug·dug
dug[speak]V/t	du₁₁-du₁₁	rr	du·du
dug[speak]V/t	du₁₁-du₁₁	rr	du·du
dug[speak]V/t	du₁₂-du₁₂	rr	du·du
dug[speak]V/t	du₉-du₉	rr	du·du
dugud[heavy]V/i	dugud-dugud	RR	dugud·dugud
duh[loosen]V/t	du-du	rr	du·du
duh[loosen]V/t	duh-du	Rr	duh·du
duh[loosen]V/t	duh-duh	RR	duh·duh
duh[loosen]V/t	duh-duh	RR	duh·duh
duh[loosen]V/t	du₃-du₃	rr	du·du
dul[cover]V/t	dul-dul	RR	dul·dul
dul[cover]V/t	dul₄-dul₄	RR	dul·dul
dul[cover]V/t	dul₉-dul₉	RR	dul·dul
dul[cover]V/t	tu₁₈-tu₁₈	rr	tu·tu
dul[gather]V/t	du₆-ul-du₆-ul	R′R′	du°ul·du°ul
dun[dig]V/t	du-un-du-un	R′R′	du°un·du°un
dun[dig]V/t	dun-dun	RR	dun·dun
dun[dig]V/t	dun-dun	RR	dun·dun
dun[dig]V/t	dun-dun	RR	dun·dun
dun[roam]V/i	du₉-du₉	rr	du·du
dun[roam]V/i	du₉-du₉	rr	du·du
dun[warp]V/t	dun-dun	RR	dun·dun
dun[warp]V/t	dun-dun	RR	dun·dun
DUN[decorate]V/t	DUN-DUN	RR	DUN·DUN
dur[cvve]V/t	du₈-du₈	rr	du·du
dur[fart]V/i	dur₂-dur₂	RR	dur·dur
dur[sit]V/i	dur₂-dur₂	RR	dur·dur
duru[wet]V/i	duru₅-duru₅	RR	duru·duru
e[leave]V/i	e₃-e₃	RR	e·e
e[leave]V/i	i-i	rr	i·i
e[leave]V/i	i₃-i₂	rr	i·i
e[leave]V/i	i₃-i₃	rr	i·i
e[speak]V/t	de₂-de₂	rr	de·de
e[speak]V/t	e-eš	rR	e·eš
e[speak]V/t	i-i	rr	i·i
ed[ascend]V/i	ed₃-ed₃	RR	ed·ed
ere[go]V/i	re-re	rr	re·re
ere[go]V/i	re₇-re₇	rr	re·re
erin[yoke]V/t	erin₂-erin₂	RR	erin·erin
gaŋ[carry]V/t	ga₆-ga₆	rr	ga·ga
gal[big]V/i	gal-gal	RR	gal·gal
galam[skilful]V/i	galam-galam	RR	galam·galam
galam[skilful]V/i	galam-galam	RR	galam·galam
galam[skilful]V/i	galam-galam	RR	galam·galam
gan[bear]V/t	gan-gan	RR	gan·gan
gar[heap]V/t	gar-gar	RR	gar·gar
gar[heap]V/t	gar-gar-gar	RRR	gar·gar·gar
gaz[kill]V/t	gaz-gaz	RR	gaz·gaz
gaz[kill]V/t	gaz-gaz	RR	gaz·gaz
gaz[kill]V/t	gaz₂-gaz₂	RR	gaz·gaz
gi[kill]V/t	gi-gi	RR	gi·gi
gi[kill]V/t	gig-gig	rr	gig·gig
gi[kill]V/t	gi₁₆-gi₁₆	RR	gi·gi
gi[kill]V/t	gi₄-gi₄	RR	gi·gi
gi[turn]V/i	gi-gi	RR	gi·gi
gi[turn]V/i	gig-gig	rr	gig·gig
gi[turn]V/i	gi₂-gi₂	RR	gi·gi
gi[turn]V/i	gi₄-gi	RR	gi·gi
gi[turn]V/i	gi₄-gi₄	RR	gi·gi
gi[turn]V/i	gi₄-gi₄-gi₄	RRR	gi·gi·gi
gi[turn]V/i	ki-ki	rr	ki·ki
gibil[new]V/i	gibil-gibil	RR	gibil·gibil
gibil[new]V/i	gibil₄-gibil₄	RR	gibil·gibil
gid[drag]V/t	gid₂-gid₂	RR	gid·gid
gid[drag]V/t	gid₂-gid₂	RR	gid·gid
gid[long]V/i	gid₂-gid₂	RR	gid·gid
gid[long]V/i	gid₂-gid₂	RR	gid·gid
gig[sick]V/i	gi-gi	rr	gi·gi
gig[sick]V/i	gig-gig	RR	gig·gig
gig[sick]V/i	gig₂-gig₂	RR	gig·gig
gig[sick]V/i	gig₃-gig₃	RR	gig·gig
gig[sick]V/i	gi₄-gi₄	rr	gi·gi
giggig[black]V/i	gi-gi	rr	gi·gi
giggig[black]V/i	gi₆-gi₆	rr	gi·gi
gil[harness?]V/t	gi-il-gi-il	R′R′	gi°il·gi°il
gilim[cross]V/t	gil-gil	rr	gil·gil
gilim[cross]V/t	gil-gil	rr	gil·gil
gilim[cross]V/t	gilim-gilim	RR	gilim·gilim
gin[firm]V/i	ge-en-ge-en	R′R′	ge°en·ge°en
gin[firm]V/i	ge-en-gin₆	R′r	ge°en·gin
gin[firm]V/i	gi-na-gi-na	R′R′	gi°na·gi°na
gin[firm]V/i	gin-gin	RR	gin·gin
gin[firm]V/i	gin₆-gin₆	RR	gin·gin
gin[firm]V/i	gi₄-gi₄	rr	gi·gi
gir[slip]V/i	gir₅-gi	Rr	gir·gi
gir[slip]V/i	gir₅-gir₅	RR	gir·gir
gu[eat]V/t	gu₂-gu₂	RR	gu·gu
gu[eat]V/t	gu₇-gu₇	RR	gu·gu
gub[stand]V/i	gub-gub	RR	gub·gub
gud[jump]V/t	gud-gud	RR	gud·gud
gud[jump]V/t	gu₄-ud-gu₄-ud	R′R′	gu°ud·gu°ud
guguru[trim]V/t	guru₅-guru₅	rr	guru·guru
guguru[trim]V/t	gu₂-guru₅-gu₂	R′r	gu°guru·gu
guguru[trim]V/t	gu₂-gur₅	rR	gu·gur
guguru[trim]V/t	gu₂-gur₇	rR	gu·gur
guguru[trim]V/t	gu₂-gurₓ(|ŠE.UR₄|)	rR	gu·gur
gul[destroy]V/t	gu-ul-gu-ul	R′R′	gu°ul·gu°ul
gul[destroy]V/t	gul-gul	RR	gul·gul
gum[lame]V/i	gum₂-gum₂	RR	gum·gum
gum[lame]V/i	gum₂-gum₂	RR	gum·gum
gun[twist]V/t	gu₂-gu₂	rr	gu·gu
gunu[speckled]V/i	gun₃-gun₃	rr	gun·gun
gunu[speckled]V/i	gun₃-gun₃-gun₃	rrr	gun·gun·gun
gunu[speckled]V/i	gun₃-gun₃	rr	gun·gun
gunu[speckled]V/i	gun₅-gun₅	rr	gun·gun
gunu[speckled]V/i	gu₂-gu₂	rr	gu·gu
gur[lift]V/t	gur₃-gur₃	RR	gur·gur
gur[lift]V/t	gur₆-gur₆	RR	gur·gur
gur[lift]V/t	gu₂-gur₃	rR	gu·gur
gur[reap]V/t	gur₁₀-gur₁₀	RR	gur·gur
gur[reap]V/t	gur₁₅-gur₁₅	RR	gur·gur
