id_composite	created_by	created_on	description	designation	external_id	genre	keywords	last_modified_by	last_modified_on	new_q	notes	other_names	period	place	primary_edition	publication_history	series	series_section	sources	status	subgenre	subseries	subseries_section
Q000583				Letter from Inim-Inana to Enlil-massu	etcsl:3.3.11	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian			[http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.11&amp;display=Crit&amp;charenc=gcirc ETCSL 3.3.11]				active	Other letters and letter-prayers		
Q000584				Letter from Inim-Inana to Lugal-ibila	etcsl:3.3.12	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian			[http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.12&amp;display=Crit&amp;charenc=gcirc ETCSL 3.3.12]				active	Other letters and letter-prayers		
Q000585				Letter from an administrator to the generals	etcsl:3.3.13	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian			[http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.13&amp;display=Crit&amp;charenc=gcirc ETCSL 3.3.13]				active	Other letters and letter-prayers		
Q000587				Letter from Iddatum to Sumutara	etcsl:3.3.15	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
Q000588				Letter from Sag-lugalbi-zu to Nur-kabta	etcsl:3.3.16	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
Q000590				Letter from Nabi-Enlil to Ṣilli-Eštar	etcsl:3.3.18	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
Q000592				Letter from Gudea to his personal deity	etcsl:3.3.20	Literary		ARMEP	9/4/2019 9:33:50 AM				Old Babylonian	Girsu		[http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.20&amp;display=Crit&amp;charenc=gcirc ETCSL 3.3.20]	Gudea			active	Other letters and letter-prayers		
Q000595				Letter from Igmil-Sin to Nudimmud-siga	etcsl:3.3.23	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
Q000606				Letter from Lu-Ninurta to Inana-andul-duga	etcsl:3.3.34	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
X000606				Letter from Lu-Ninurta to Inana-andul-duga Version B	etcsl:3.3.34.a	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
Q000610				Letter from X to the goddess Ninisina	etcsl:3.3.38	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian							active	Other letters and letter-prayers		
Q000791				A dog for Nintinuga	etcsl:5.7.2	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian			[http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.7.2&amp;display=Crit&amp;charenc=gcirc ETCSL 5.7.2]				active	Various compositions		
Q000792				An axe for Nergal	etcsl:5.7.3	Literary		er264	8/25/2010 7:49:19 AM				Old Babylonian			[http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.7.3&amp;display=Crit&amp;charenc=gcirc ETCSL 5.7.3]				active	Various compositions		
Q002377				Letter Fragments	civil:3.99	Literary		er264	8/25/2010 7:49:20 AM				Old Babylonian							active			
X002377				Letter Fragments bis	civil:3.99.a	Literary		er264	8/25/2010 7:49:20 AM				Old Babylonian							active			
Q002404				Minor Composition 4	civil:6.2.12.11	Literary		er264	8/25/2010 7:49:20 AM				Old Babylonian							active			
