S₄	van Dijk pl. XLIV	i 37-50
T₄	van Dijk pl. XLIV	
U₄	ISET 1, 170 (228)	136-137
W₄	van Dijk pl. XXXI	702-711
X₄	van Dijk pl. XLV	377-383
Y₄	van Dijk pl. XLV	252-260
Z₄	van Dijk pl. XLV	-
A₅	van Dijk pl. XLVI	377-389
B₅	Falkenstein	77-89
C₅	IRAQ 41 (1979) 133, 40	
D₅	van Dijk pl. XLVII	
E₅	van Dijk pl. LXXXVII	530-540
a	van Dijk pl. XLVIII-XLIX	1-23
b	TCL 16, 82	2-13
c	ZA 54 (1961) 73s. fig. 2-3	9-11
d	ASKT 79ss.	10-24
e	STT 2, 150	10-24
f	RA 17 (1920) 151;  ZA 34 (1922) 29	
g	ZA 54 (1961) 72s. fig. 1-2	18-28
h	KAR 13	i 39-45; ii 92-93; i -
i	K 13521*	49-54
j	BM 38155*	53-66
k	K 5124	59-71
l	K 6657*(+o)	
m	ZA 54 (1961) 88	70-79
n	LKA 9	
o	BL 110 (+BL 98)	
p	MVAG 8/5 (1903) pl. XI	-
q	KAR 17	90-99
r	ZA 54 (1961) 88 fig. 6	90-101
s	Th 1905-4-9, 10+12+13+322+394	105-114
t	K 2863	136-145
u	van Dijk pl. LIII-LIV	137-148
v	van Dijk pl. LV	159-161
w	80-7-19, 127	182-189
x	BM 38433*	182-195
y	AO 4135	250-261
z	BM 46956=81-8-30, 422*	281-289
a₁	MVAG 8/5 (1903) pl. XII	293-296
b₁	SBH 71 f.	345-357
c₁	ZA 54 (1961) 88, fig. 8	
d₁	KAR 14	i 375-397; ii 418-443; r iii 486-512
e₁	ZA 54 (1961) 83, fig. 5	375-386
f₁	MVAG 8/5 (1903) = BA 5, 676 ss.	385-399
g₁	van Dijk pl. LIX	
h₁	van Dijk pl. LIX	432-438
i₁	van Dijk pl. LX	435-442
j₁	4 R2 13, n° 1 (+add. p. 2)	463-489
k₁	Abel-Winckler, 60s.	513-533
l₁	van Dijk pl. LXIII	517-522a
m₁	KAR 370a	568, 524-530, 569
n₁	van Dijk pl. LXIV-LXIX	i 613-627; ii 565-568, 524-530, 569-586; r iii 672-689,
o₁	KAR 363	540-544
p₁	AOTU 1, 361	550-556
q₁	van Dijk pl. LXX	
r₁	van Dijk pl. LXX	
s₁	KAR 251	568(!), 524-526
t₁	van Dijk pl. LXXI	7-10
u₁	van Dijk pl. LXXIII	3-16
v₁	van Dijk pl. LXXIV	621-627
w₁	v. Dijk; (cf. 4 R2 add. p. 2)	485-490
x₁	KAR 370c	
y₁	KAR 370b	
z₁	van Dijk pl. LXXIV	529-535
a₂	van Dijk pl. LXXIV	
b₂	van Dijk pl. LXXV-LXXVI	4-94
c₂	van Dijk pl. LXXVII	2-6
d₂	van Dijk pl. LXXVII	
e₃	Lambert	
f₂	van Dijk pl. LXXVIII	71-73
g₂	van Dijk pl. LXXVIII-LXXIX	218-222
h₂	Cooper; Walker	
i₂	van Dijk pl. LXXIX-LXXX	136-144
j₂	van Dijk pl. LXXX	
k₂	van Dijk pl. LXXII	17-25
l₂	van Dijk pl. LXXX	
m₂	van Dijk pl. LXXXI	
n₂	van Dijk pl. LXXXI	182-191
o₂	(unpub?)	
p₂	OIP 97, 89	
q₂	van Dijk pl. LXXXVI	
