Number	Museum Sigla	Publication	SEpM Composition	Tablet Type
Ur2	U 16272	UET 6/2 175	18	III
Ur3 (x)	U 16833	UET 5 862	13	III
Ur4	U 16849	UET 6/2 177	6	III
Ur5 (x)	U 16853 + n/a	UET 6/2 174 + UET 6/3 537	7, 3 CKU, 19	I
Ur6 (x)	U 16857	UET 6/2 178	1	III
Ur7 (x)	U16859	UET 8 60	9	III
Ur8	U 16894A	UET 6/2 176	18	III
Ur9 (x)	U 16894B	UET 6/2 179	1	III
Ur10	U 16900G	UET 6 180	19	III
Ur11 (x)	U 169000	UET 8 61	3	III
Ur12 (x)	Up	UET 8 58	9	III
Ur13 (x)	Uq	UET 8 59	9	III[*?]
Ur14 (x)	n/a	UET 6/3 560 (149)	6	III
Ur15 (x)	n/a	UET 6/3 564	4	?
Is1 (x)	IB 1706	Krebernik 1992, 105, fig. 10, pl. 56	6	III
Ki1 (x)		PRAK 1 B 88	8	III[*?]
Nv1 (x)	K20167		2, 3	CHECK
Su1 (x)		MDP 27 207	1	IV
Su2
Uk1	W 16743a	AUWE 23 159, no. 114, photo in ZA 44, pl. I	6	III-l
Uk2	W 16743b = VAT 21575	AUWE 23 160 no. 115, photo in ZA 44 2, pl. II	6	III-l
Uk3
X1 (x)	AO 8198		6	III
X2 (x)	AO 8199		7	III-s
X3 (x)	AO 8200		3	III
X4	Ash 1922-258	OECT 5 25	22, four LL	P
X5	Ash 1923-408	OECT 13 1	5	III
X6	BM 54894	Leichty 1986, 159	4, CKU 13	I
X7	BM 79102		2, X, 4*	IIIm
X8 (x)	Crozer 206		1, 2, 3, 4, 6, 7, 8	I
X9 (x)	Edin 09-405-32	BL 5	6	III
X10 (x)	IM 11053, 163	TIM 9 16	19	III
X11 (x)	MS 2290		20, 19	IIIm
X12 (x)	MS 3316		7	III
X13 (x)	MS 3356		11, X*	III*
X14 (x)	NBC 1303	BIN 2 53	7	IV
X15 (x)	NBC 7800		model contracts, 14	I
X16 (x)	NBC 11452		2	III
X17	VAT 867	VAS 17 36	6	III-l
X18	VAT 9157	VAS 17 44	X1, X2, ANL 15, ANL 9, X3, 9	I
X19 (x)	Wilson Li09		19	III
X20 (x)	YBC 6458		1	III
X21 (x)	YBC 6711		6	III
X22 (x)	YBC 7170		18	III
X23 (x)	YBC 7175		12	III
X24 (x)	YBC 12074		14	III
X25 (x)	YBC 16550		7	III
X26 (x)	(unpubl. private coll.)		12	?
