FSB 72	DME 053	Ur III	Nufar-Nippur	-	Ni 4176, Vs. 1-6	ISET 1 S.217	-	Reinheit (Rohr als Purifikator)	Cunningham 1997, 75
FSB 73	DME 047	aAk	Susa	-	MDP 14, 91	MDP 14, 91 / MDP 14 Pl. XI	-	Reinheit (kiškanû-Baum als Purifikator)	Geller 1980, 24-25
FSB 74A	DME 054A	Ur III	Nufar-Nippur	-	Ni 4176, 7-12	ISET 1 S.217	-	Reinheit (Tamariske als Purifikator)	Cunningham 1997, 83
FSB 74B	DME 054B	Ur III	Nufar-Nippur	-	CBS 8380	PBS 1/2 123 / NATN Pl.3; http://www.cdli.ucla.edu/dl/photo/P125403.	-	Reinheit (Wacholder als Purifikator)	Cunningham 1997, 83
FSB 75	DME 055	Ur III	Nufar-Nippur	-	Ni 4176, 01.13-02.9’	ISET 1 S. 217	-	Reinheit (Wacholder als Purifikator)	Conti 1997, 260
FSB 76	MARI 8, 258-259	Ur III	Nufar-Nippur	5N-T 048	-	-	-	Reinigung (Wacholder als Purifikator)	Conti 1997:258-259
FSB 77	DME 069	Ur III	Herkunft unbekannt	-	AUAM 73.1425 Vs. II 1- Rs. III 2	ASJ 2 S.159-160 / ASJ 2 S.161-167.	-	Reinheit (Wacholder als Purifikator)	Conti 1997, 261-262
FSB 78	DME 065	Ur III	Herkunft unbekannt	-	VAT 6082	VS 10 190; TMH 6, 146 / http://www.cdli.ucla.edu/dl/photo/P142046.	-	Reinheit (Wacholder als Purifikator)	Witzel 1938, 84-87. — Van Dijk/Geller 2003, 76-77.
FSB 79	DME 007	FD IIIa	Fāra-Šuruppak	-	VAT 12524 IX’ 1’-3’	SF 46 IX’ 1’-3’; BFE 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	Hausbau	Krebernik 1984, 92-93.
FSB 80A	DME 018A	FD IIIb	Tell Mardich — Ebla	TM.75.G 2459 I 1-III 2	INM -	ARET V 19 I 1-III 2 / ARET 5 Taf. LIV-LV 19	13.8x12.8x3.0	Hausbau	Krebernik 1984, 146-149
FSB 80B	DME 018B	FD IIIb	Tell Al-Hiba — Lagaš	2H-T 6	Iraq Museum, Bagdad	BiMes 3, 31	6.6x5.2x3.3	Hausbau	Krebernik 1984:146-149
FSB 81	DME 017	FD IIIb	Tello — Girsu	-	AO 3866	CIRPL Urn. 49 / RA 74, 103	-	Hausbau	Frayne 2008, 117-118 mit weiterführender Literatur
FSB 82	TMH 6, 0192	Ur III	Nufar-Nippur	-	HS 2439 Rs.03.06-04.15	TMH 6, 126, 145 / TMH 6, 156; http://www.cdli.ucla.edu/dl/photo/P273912.	13.5x8.0	Hausbau	Van Dijk/Geller 2003, 65-68
FSB 83	Or 54, 57	aAk / Ur III	Tell al Hiba — Lagaš	-	RBC 2000	Or 54, 57	-	soziale Probleme (?)	Hallo 1985, 56-64. – Veldhuis 2003, 1-4.
FSB 84	DME 006	FD IIIa	Fāra-Šuruppak	-	VAT 12524 VIII’ 1’-3’	SF 46 VIII’ 1’-3’; BFE 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	unklar	Krebernik 1984, 92-93.
FSB 85	IAS 319	FD IIIa	TAS	AbS 169	-	OIP 99 Pl.140	7.1x5.5x2.5	unklar	unpubliziert
FSB 86	DME 019	FD IIIb	Tello - Girsu	-	MRAH O.0084	RIAA 51; http://www.cdli.ucla.edu/dl/photo/P216414	6.5x5.5x?	unklar	unpubliziert
FSB 87	DME 048	aAk	Nufar-Nippur	-	N 1235 + N 6283	BiMes 1, 6	-	unklar	Alster 1976, 14-18
FSB 88	YOS 11, 58	Ur III	Nufar-Nippur	5N-T 434	NBC 11289	YOS 11, 58	1.8x1.6x5.0	unklar	Ferrara 2000, 20439
FSB 89	DME 061	Ur III	Nufar-Nippur	-	CBS 7268	NATN Pl. 3, 8 / NATN Pl. 1, 8; http://www.cdli.ucla.edu/dl/photo/P120703.	-	unklar	Ferrara 2000, 204+39
FSB 90	TMH 6, 0081	Ur III	Nufar-Nippur	-	HS 1573 Vs. 01.01’ – Rs. 03.09’	TMH 6, 119 / TMH 6, 150; http://www.cdli.ucla.edu/dl/photo/P273898.	5.0x5.5x3.0	unklar	Van Dijk/Geller 2003:36-38
FSB 91	TMH 6, 0181	Ur III	Nufar-Nippur	-	HS 1496, Vs.01.01-01.09	TMH 6, 113 / TMH 6, 155; http://www.cdli.ucla.edu/dl/photo/P273890.	8.0x4.5x2.5	unklar	Van Dijk/Geller 2003, 62-64
FSB 92	TMH 6, 0182	Ur III	Nufar-Nippur	-	HS 1496, Vs.01.10-Rs.02.06	TMH 6, 113 / TMH 6, 155; http://www.cdli.ucla.edu/dl/photo/P273890.	8.0x4.5x2.5	unklar	Van Dijk/Geller 2003, 62-64
FSB 93	TMH 6, 0183	Ur III	Nufar-Nippur	-	HS 1496, Rs. 02.07-02.16	TMH 6, 113 / TMH 6, 155; http://www.cdli.ucla.edu/dl/photo/P273890.	8.0x4.5x2.5	unklar	Van Dijk/Geller 2003, 62-64
FSB 94	TMH 6, 0191	Ur III	Nufar-Nippur	-	HS 2439, Vs.02.01-Rs.03.04	TMH 6, 126, 145 / TMH 6, 156; http://www.cdli.ucla.edu/dl/photo/P273912.	13.5x8.0	unklar	Van Dijk/Geller 2003, 65-68
FSB 95	DME 056	Ur III	Nufar-Nippur	-	Ni 13214	ISET 1 S.218	-	unklar	unpubliziert
FSB 96	TMH 6, 017	Ur III	Nufar-Nippur	-	HS 2094	TMH 6, 123 / TMH 6, 155; http://www.cdli.ucla.edu/dl/photo/P273905.	9.6x4.5x2.3	unklar	Van Dijk/Geller 2003, 59-62
FSB 97	TMH 6, 0082	Ur III	Nufar-Nippur	-	HS 1573 Rs. 03.10’-11’	TMH 6, 119 / TMH 6, 150; http://www.cdli.ucla.edu/dl/photo/P273898.	5.0x5.5x3.0	unklar	Van Dijk/Geller 2003:36-38
FSB 98	TMH 6, 0023	Ur III	Nufar-Nippur	-	HS 1464 Rs. 03.03-03.08	TMH 6, 110 / TMH 6, 147 / http://www.cdli.ucla.edu/dl/photo/P273888	12.0x7.0x2.5	unklar	Van Dijk/Geller 2003, 14-18.
FSB 99	TMH 6, 013	Ur III	Nufar-Nippur	-	HS 1374	TMH 6, 143 / TMH 6, 153; http://www.cdli.ucla.edu/dl/photo/P273884.	7.0x5.5	unklar	Van Dijk/Geller 2003, 50-51.
FSB 100	TMH 6, 022	Ur III	Nufar-Nippur	-	HS 2541	TMH 6, 126, 143 / TMH 6, 157; http://www.cdli.ucla.edu/dl/photo/P273916.	4.5x2.5x3.0	unklar	Van Dijk/Geller 2003, 73
FSB 101	ASJ 2, 160	Ur III	Herkunft unbekannt	-	AUAM 73.1425 Ränder	ASJ 2, 159-60 / ASJ 2, 161-167	-	Ritual	unpubliziert
FSB 102	TMH 6, 020	Ur III	Nufar-Nippur	-	HS 2315	TMH 6, 124 / TMH 6, 156; http://www.cdli.ucla.edu/dl/photo/P273907.	11.5x5.0x2.0	Ritual	Van Dijk/Geller 2003, 68-70
FSB 103	TMH 6, 014	Ur III	Nufar-Nippur	-	HS 1556	TMH 6, 118, 144 / TMH 6, 153; http://www.cdli.ucla.edu/dl/photo/P273897.	9.0x4.0x1.8	gegen Bevölkerung der fremden Länder (schwarze Magie?)	Van Dijk/Geller 2003, 51-54. –Krispijn 2008, 174-194.
FSB 104	DME 051	Ur III	Nufar-Nippur	-	Ni 2177	Anadolu Arastirmalari 6, 176-177	-	gegen Bevölkerung der fremden Länder (schwarze Magie?)	Kramer / Eren 1978, 171-177
