Q000888				Gudea 002	rim:E3/1.1.7.2	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 108, E3/1.1.7.2		Gudea			active			
Q000889				Gudea 003	rim:E3/1.1.7.3	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 109, E3/1.1.7.3		Gudea			active			
Q000890				Gudea 004	rim:E3/1.1.7.4	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 109, E3/1.1.7.4		Gudea			active			
Q000891				Gudea 006	rim:E3/1.1.7.6	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 111, E3/1.1.7.6		Gudea			active			
Q000892				Gudea 008	rim:E3/1.1.7.8	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 113, E3/1.1.7.8		Gudea			active			
Q000893				Gudea 011	rim:E3/1.1.7.11	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 115, E3/1.1.7.11		Gudea			active			
Q000894				Gudea 016	rim:E3/1.1.7.16	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 119, E3/1.1.7.16		Gudea			active			
Q000895				Gudea 017	rim:E3/1.1.7.17	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 119, E3/1.1.7.17		Gudea			active			
Q000896				Gudea 018	rim:E3/1.1.7.18	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 120, E3/1.1.7.18		Gudea			active			
Q000897				Gudea 019	rim:E3/1.1.7.19	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 121, E3/1.1.7.19		Gudea			active			
Q000898				Gudea 020	rim:E3/1.1.7.20	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 122, E3/1.1.7.20		Gudea			active			
Q000899				Gudea 021	rim:E3/1.1.7.21	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 122, E3/1.1.7.21		Gudea			active			
Q000900				Gudea 024	rim:E3/1.1.7.24	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 125, E3/1.1.7.24		Gudea			active			
Q000901				Gudea 025	rim:E3/1.1.7.25	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 125, E3/1.1.7.25		Gudea			active			
Q000902				Gudea 026	rim:E3/1.1.7.26	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 126, E3/1.1.7.26		Gudea			active			
Q000903				Gudea 029	rim:E3/1.1.7.29	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 129, E3/1.1.7.29		Gudea			active			
Q000904				Gudea 031	rim:E3/1.1.7.31	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 130, E3/1.1.7.31		Gudea			active			
Q000905				Gudea 033	rim:E3/1.1.7.33	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 132, E3/1.1.7.33		Gudea			active			
Q000906				Gudea 034	rim:E3/1.1.7.34	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 133, E3/1.1.7.34		Gudea			active			
