Q000936	Ur-Namma 04	rim:E3/2.1.1.4	Ur III	Ur
Q000937	Ur-Namma 05	rim:E3/2.1.1.5	Ur III	Ur
Q000938	Ur-Namma 10	rim:E3/2.1.1.10	Ur III	Ur
Q000939	Ur-Namma 11	rim:E3/2.1.1.11	Ur III	Ur
Q000940	Ur-Namma 12	rim:E3/2.1.1.12	Ur III	Ur
Q000941	Ur-Namma 13	rim:E3/2.1.1.13	Ur III	Ur
Q000942	Ur-Namma 14	rim:E3/2.1.1.14	Ur III	Ur
Q000943	Ur-Namma 15	rim:E3/2.1.1.15	Ur III	Ur
Q000944	Ur-Namma 16	rim:E3/2.1.1.16	Ur III	Ur
Q000945	Ur-Namma 17	rim:E3/2.1.1.17	Ur III	Ur
Q000946	Ur-Namma 19	rim:E3/2.1.1.19	Ur III	Ur
Q000947	Ur-Namma 20 (= Laws of Ur-Namma)	rim:E3/2.1.1.20	Ur III	Ur
Q000949	Ur-Namma 24	rim:E3/2.1.1.24	Ur III	Ur
Q000950	Ur-Namma 25	rim:E3/2.1.1.25	Ur III	Ur
Q000951	Ur-Namma 26	rim:E3/2.1.1.26	Ur III	Ur
Q000952	Ur-Namma 28	rim:E3/2.1.1.28	Ur III	Ur
Q000953	Ur-Namma 33	rim:E3/2.1.1.33	Ur III	Ur
Q000954	Ur-Namma 34	rim:E3/2.1.1.34	Ur III	Ur
Q000955	Ur-Namma 35	rim:E3/2.1.1.35	Ur III	Ur
Q000956	Ur-Namma 37	rim:E3/2.1.1.37	Ur III	Ur
Q000957	Ur-Namma 39	rim:E3/2.1.1.39	Ur III	Ur
Q000958	Ur-Namma 40	rim:E3/2.1.1.40	Ur III	Ur
Q000959	Ur-Namma 54	rim:E3/2.1.1.54	Ur III	Ur
Q000960	Šulgi 03	rim:E3/2.1.2.3	Ur III	Ur
Q000961	Šulgi 04	rim:E3/2.1.2.4	Ur III	Ur
Q000962	Šulgi 06	rim:E3/2.1.2.6	Ur III	Ur
Q000963	Šulgi 09	rim:E3/2.1.2.9	Ur III	Ur
Q000964	Šulgi 10	rim:E3/2.1.2.10	Ur III	Ur
Q000965	Šulgi 11	rim:E3/2.1.2.11	Ur III	Ur
Q000966	Šulgi 12	rim:E3/2.1.2.12	Ur III	Ur
Q000967	Šulgi 13	rim:E3/2.1.2.13	Ur III	Ur
Q000968	Šulgi 16	rim:E3/2.1.2.16	Ur III	Ur
Q000969	Šulgi 18	rim:E3/2.1.2.18	Ur III	Ur
Q000971	Šulgi 20	rim:E3/2.1.2.20	Ur III	Ur
Q000972	Šulgi 21	rim:E3/2.1.2.21	Ur III	Ur
Q000973	Šulgi 22	rim:E3/2.1.2.22	Ur III	Ur
Q000974	Šulgi 28	rim:E3/2.1.2.28	Ur III	Ur
Q000975	Šulgi 30	rim:E3/2.1.2.30	Ur III	Ur
Q000976	Šulgi 31	rim:E3/2.1.2.31	Ur III	Ur
Q000977	Šulgi 32	rim:E3/2.1.2.32	Ur III	Ur
Q000978	Šulgi 39 (and Šulgi 45)	rim:E3/2.1.2.39 and 45	Ur III	Ur
Q000979	Šulgi 42	rim:E3/2.1.2.42	Ur III	Ur
Q000980	Šulgi 89	rim:E3/2.1.2.89	Ur III	Ur
Q000981	Amar-Suen 01	rim:E3/2.1.3.1	Ur III	Ur
Q000982	Amar-Suen 04	rim:E3/2.1.3.4	Ur III	Ur
Q000983	Amar-Suen 08	rim:E3/2.1.3.8	Ur III	Ur
Q000984	Amar-Suen 09	rim:E3/2.1.3.9	Ur III	Ur
Q000985	Amar-Suen 10	rim:E3/2.1.3.10	Ur III	Ur
Q000986	Amar-Suen 13	rim:E3/2.1.3.13	Ur III	Ur
Q000987	Amar-Suen 14	rim:E3/2.1.3.14	Ur III	Ur
Q000988	Amar-Suen 15	rim:E3/2.1.3.15	Ur III	Ur
Q000989	Amar-Suen 16	rim:E3/2.1.3.16	Ur III	Ur
Q000990	Amar-Suen 17	rim:E3/2.1.3.17	Ur III	Ur
