Q000860				Šar-kali-šarri 01	rim:E2.1.5.1	Royal Inscription		ARMEP	7/29/2019 10:47:54 AM				Old Akkadian	Agade	RIME 2, p. 186, E2.1.5.1		Šar-kali-šarri	1		active			
Q000861				Šar-kali-šarri 02	rim:E2.1.5.2	Royal Inscription		ARMEP	7/29/2019 10:48:17 AM				Old Akkadian	Agade	RIME 2, p. 188, E2.1.5.2		Šar-kali-šarri	2		active			
Q000862				Šar-kali-šarri 03	rim:E2.1.5.3	Royal Inscription		Eleanor Robson	5/28/2015 4:05:09 PM				Old Akkadian	Agade	RIME 2, p. 189, E2.1.5.3		Šar-kali-šarri			active			
Q000863				Šar-kali-šarri 08	rim:E2.1.5.8	Royal Inscription		Eleanor Robson	5/28/2015 4:05:10 PM				Old Akkadian	Agade	RIME 2, p. 196, E2.1.5.8		Šar-kali-šarri			active			
Q000864				Šar-kali-šarri 2004	rim:E2.1.5.2004	Royal Inscription		ARMEP	7/29/2019 10:52:01 AM				Old Akkadian	Agade	RIME 2, p. 200, E2.1.5.2004		Šar-kali-šarri	2004		active			
Q000865				Šar-kali-šarri 2005	rim:E2.1.5.2005	Royal Inscription		ARMEP	7/29/2019 10:52:04 AM				Old Akkadian	Agade	RIME 2, p. 201, E2.1.5.2005		Šar-kali-šarri	2005		active			
Q000866				Dudu 1	rim:E2.1.10.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:10 PM				Old Akkadian	Agade	RIME 2, p. 210, E2.1.10.1		Dudu			active			
Q000867				LI-lu-ul-DAN 1	rim:E2.1.12.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:11 PM				Old Akkadian	Agade	RIME 2, p. 218, E2.1.12.1		LI-lu-ul-DAN			active			
Q000868				Niwar-Mer 1	rim:E2.3.4.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:11 PM				Old Akkadian	Mari	RIME 2, p. 233, E2.3.4.1		Niwar-Mer			active			
Q000869				Išṭup-ilum 2	rim:E2.3.5.2	Royal Inscription		Eleanor Robson	5/28/2015 4:05:11 PM				Old Akkadian	Mari	RIME 2, p. 235, E2.3.5.2		Išṭup-ilum			active			
Q000870				Išṭup-ilum 3	rim:E2.3.5.3	Royal Inscription		Eleanor Robson	5/28/2015 4:05:11 PM				Old Akkadian	Mari	RIME 2, p. 236, E2.3.5.3		Išṭup-ilum			active			
Q000871				Lugal-nigzu 1	rim:E2.6.2.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:12 PM		updated from Tinney file 1/24/2006		Old Akkadian	Nippur	RIME 2, p. 244, E2.6.2.1		Lugal-nigzu			active			
Q000872				Lu-Utu 1	rim:E2.11.6.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:12 PM		updated from Tinney file 1/24/2006		Old Akkadian	Umma	RIME 2, p. 264, E2.11.6.1		Lu-Utu			active			
Q000873				Lu-Utu 2	rim:E2.11.6.2	Royal Inscription		Eleanor Robson	5/28/2015 4:05:12 PM		updated from Tinney file 1/24/2006		Old Akkadian	Umma	RIME 2, p. 265, E2.11.6.2		Lu-Utu			active			
Q000874				Lugal-ušumgal 2001	rim:E2.12.3.2001	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Old Akkadian	Girsu	RIME 2, p. 270, E2.12.3.2001					active			
Q000875				Puzurmama 1	rim:E2.12.5.1	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Old Akkadian	Girsu	RIME 2, p. 271, E2.12.5.1					active			
Q000876				Utu-hegal 1	rim:E2.13.6.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:13 PM		updated from Tinney file 1/24/2006		Old Akkadian	Uruk	RIME 2, p. 280, E2.13.6.1		Utu-hegal			active			
Q000877				Utu-hegal 3	rim:E2.13.6.3	Royal Inscription		Eleanor Robson	5/28/2015 4:05:13 PM		updated from Tinney file 1/24/2006		Old Akkadian	Uruk	RIME 2, p. 282, E2.13.6.3		Utu-hegal			active			
Q000879				Lusaga 1	rim:E2.15.1.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:14 PM		updated from Tinney file 1/24/2006		Old Akkadian	Ur	RIME 2, p. 300, E2.15.1.1		Lusaga			active			
Q000880				Ešpum 2001	rim:E2.16.1.2001	Royal Inscription		Eleanor Robson	5/28/2015 4:05:14 PM				Old Akkadian	Susa	RIME 2, p. 304, E2.16.1.2001		Ešpum			active			
