designation	id_text	museum_no	Delnero_no	Delnero_subgenre_no	type	deity	Delnero_remarks
Ni 2369	P345118	Ni 2369				Inana-Dumuzi	
Ni 2377a	P345166	Ni 2377a				Inana-Dumuzi	
Ni 2408	P345089	Ni 2408				Inana-Dumuzi	
Ni 2429	P345297	Ni 2429				Inana-Dumuzi	
Ni 2431	P345295	N 2431				Inana-Dumuzi	
Ni 2489	P345323	Ni 2489				Inana-Dumuzi	
Ni 3056	P345188	Ist Ni 03056				Inana-Dumuzi	
Ni 4019 +	P266110	Ni 4019 + Ni 4011 + CBS 10941 + CBS 10917				Inana-Dumuzi	
Ni 4552	P343628	Ist Ni 04552				Inana-Dumuzi	
Ni 4563	P464076	Ni 4563				Inana-Dumuzi	
Ni 4569	P343146	Ni 4569				Inana-Dumuzi	
Ni 9602	P343627	Ni 9602				Inana-Dumuzi	
Ni 9846	P464018	Ni 9846				Inana-Dumuzi	
Nin-imma A	P343093	Ist Ni 04233				Nin-imma	
OECT 05, 05	P345786	Ashm. 1924-1612				Ninurta	
OECT 05, 10	P345791	Ashm 1930-0362	4640	Balag AD (196)	Balag	Aruru-Dingirmah	
OECT 05, 16	P345797	Ashm 1930-0363b+i	4650	Ershemma ID (380)	Ershemma	Inana-Dumuzi	
OECT 05, 18	P345799	Ashm 1930-0341a	4610	Balag NG (187)	Balag	Ninisina-Gula	
OECT 05, 37	P345818	Ashm 1930-0402e	4690	Balag Enlil (238)	Balag	Enlil	
OECT 05, 39	P345820	Ashm 1930-0363j	4660	Ershemma Nanna-Suen (458)	Ershemma	Nanna-Suen	
OECT 05, 40	P345821	Ashm 1930-0344 + Ashm 1930-0363c	4620	Ershemma ID (381)	Ershemma	Inana-Dumuzi	
OECT 05, 41	P345822	Ashm 1930-0402d	4680	Balag ID (163)	Balag	Inana-Dumuzi	
OECT 05, 42	P345823	Ashm 1930-0399b	4670	Balag ID (164)	Balag	Inana-Dumuzi	
OECT 05, 43	P345824	Ashm 1930-0345c	4630	Uncertain TT and D (506)	Uncertain	Uncertain	
OECT 05, 44	P345825	Ashm. 1930-402c				Enlil	
OECT 05, 45	P345826	Ashm 1930-0230g	4600	Balag ID (165)	Balag	Inana-Dumuzi	
OECT 05, 46	P345827	Ashm 1924-1062 + Ashm 1924-2156	4700	Balag ID (166)	Balag	Inana-Dumuzi	
OECT 05, 49	P345830	Ashm 1924-1443				Inana	
OECT 05, 57	P345838	Ashm 1930-0366i	4710	Balag NG (188)	Balag	Ninisina-Gula	
OECT 11, 14	P348907	Ashm. 1930-341b				Ninisina-Gula	
OIM A06742	P392068	OIM A06742	4770	Ershemma NG (387)	Ershemma	Ninisina-Gula	Unpublished, see Cohen 1981, 16 n. 110
OIP 016, 030	P266500	CBS 11349	2850	Balag ID (94)	Balag	Inana-Dumuzi	
OIP 016, 032	P370896	CBS 11178	2790	Balag Enki (278)	Balag	Enki	
OIP 016, 085	P262310	CBS 07285	2700	Balag Enlil (255)	Balag	Enlil	
OIP 016, 122	P262930	CBS 07990	2710	Balag ID (119)	Balag	Inana-Dumuzi	
PBS 01/1, 05	P260028	CBS 03656	2670	Balag NG (181)	Balag	Ninisina-Gula	
PBS 01/1, 08	P266508	CBS 11359	2860	Balag Enlil (215)	Balag	Enlil	
PBS 01/1, 10	P266483	CBS 11326	2810	Balag ID (92)	Balag	Inana-Dumuzi	
PBS 10/2, 02	P257610	CBS 00045	2540	Ershemma AD (397)	Ershemma	Aruru-Dingirmah	
PBS 10/2, 03	P257600	CBS 00035	2530	Ershemma Martu (449)	Ershemma	Martu	
PBS 10/2, 13	P257677	CBS 00112	2560	Balag Enlil (232)	Balag	Enlil	
PBS 10/2, 17	P264319	CBS 06890	2680	Balag ID (13)	Balag	Inana-Dumuzi	
PBS 10/4, 05	P269760	CBS 15204	2960	Balag Enlil (258)	Balag	Enlil	
PBS 12, 27	P257700	CBS 00135	2570	Ershemma Utu (271)	Ershemma	Utu	
PRAK B 046 + PRAK C 094	P343863	Ist —				Inana-Dumuzi	
PRAK B 048 +	P343865	Ist —	3650	Ershemma ID (351)	Ershemma	Inana-Dumuzi	
PRAK B 060	P343877	Ist —	3660	Uncertain TT and D (496)	Uncertain	Uncertain	
PRAK B 110	P343927	Ist —	3670	Balag ID (145)	Balag	Inana-Dumuzi	
PRAK B 123	P343940	Ist —	3680	Balag Uncertain Deity (311)	Balag	Uncertain	
PRAK B 184	P344000	Ist —	3690	Ershemma ID (352)	Ershemma	Inana-Dumuzi	
PRAK B 186	P344002	Ist —	3700	Balag ID (146)	Balag	Inana-Dumuzi	
PRAK B 188	P344004	Ist —	3710	Balag ID (18)	Balag	Inana-Dumuzi	
PRAK B 192	P344008	Ist —	3720	Uncertain TT and D (497)	Uncertain	Uncertain	
PRAK B 233	P344049	Ist —	3730	Balag Uncertain Deity (312)	Balag	Uncertain	
PRAK B 240	P344056	Ist —	3740	Balag Uncertain Deity (313)	Balag	Uncertain	
PRAK B 244	P344060	Ist —	3750	Uncertain TT and D (498)	Uncertain	Uncertain	
PRAK B 255	P344071	Ist —	3760	Balag Bau (202)	Balag	Bau	
PRAK B 264	P344080	Ist Ki 847	3770	Balag ID (147)	Balag	Inana-Dumuzi	
PRAK B 271 +	P344087	Ist — + AO 10686	3780	Balag ID (148)	Balag	Inana-Dumuzi	
PRAK B 277	P344093	Ist —	3790	Uncertain TT Ninhursag (482)	Uncertain	Ninhursag	
PRAK B 298	P344114	Ist —	3800	Uncertain TT ID (476)	Uncertain	Inana-Dumuzi	
PRAK B 307	P344123	Ist —	3810	Balag Enlil (235)	Balag	Enlil	
PRAK B 308	P344124	Ist —	3820	Uncertain TT and D (499)	Uncertain	Uncertain	
PRAK B 319	P344135	Ist —	3830	Ershemma Uncertain Deity (465)	Ershemma	Uncertain	
PRAK B 320	P344136	Ist —	3840	Uncertain TT and D (500)	Uncertain	Uncertain	
PRAK B 322 +	P344138	Ist — + AO 10645	3850	Ershemma NG (391)	Ershemma	Ninisina-Gula	
PRAK B 331 +	P344147	Ist — (+) A) 10679	3860	Balag NG (185)	Balag	Ninisina-Gula	
PRAK B 332	P344148	Ist Ki 0915	3870	Balag ID (149)	Balag	Inana-Dumuzi	
PRAK B 342	P344158	Ist —	3880	Balag Uncertain Deity (314)	Balag	Uncertain	
PRAK B 344	P344160	Ist —	3890	Uncertain TT ID (477)	Uncertain	Inana-Dumuzi	
PRAK B 348	P344164	Ist —	3900	Balag ID (49)	Balag	Inana-Dumuzi	
PRAK B 350	P344166	Ist —	3910	Ershemma Uncertain Deity (467)	Ershemma	Uncertain	
PRAK B 351	P344167	Ist —	3920	Uncertain TT and D (501)	Uncertain	Uncertain	
PRAK B 352	P344168	Ist —	3930	Uncertain TT and D (502)	Uncertain	Uncertain	
PRAK B 357	P344173	Ist —	3940	Balag Enlil (263)	Balag	Enlil	
PRAK B 361	P344177	Ist —	3950	Ershemma ID (374)	Ershemma	Inana-Dumuzi	
PRAK B 362	P344178	Ist —	3960	Ershemma Uncertain Deity (468)	Ershemma	Uncertain	
PRAK B 364	P344180	Ist —	3970	Uncertain TT ID (478)	Uncertain	Inana-Dumuzi	
PRAK B 380	P344196	Ist —	3980	Ershemma ID (375)	Ershemma	Inana-Dumuzi	
PRAK B 389	P344205	Ist —	3990	Balag ID (19)	Balag	Inana-Dumuzi	
PRAK B 395	P344211	Ist —	4000	Ersehmma ID (376)	Ersehmma	Inana-Dumuzi	
PRAK B 396	P344212	Ist Ki 976 + Ist Ki 1035	4010	Balag ID (20)	Balag	Inana-Dumuzi	
PRAK B 405	P344221	Ist —	4020	Ershemma Enlil (424)	Ershemma	Enlil	
PRAK B 413	P344229	Ist —	4030	Ershemma Utu (432)	Ershemma	Utu	
PRAK B 415	P344231	Ist —	4040	Balag NG (186)	Balag	Ninisina-Gula	
PRAK B 417	P344233	Ist —	4050	Balag ID (150)	Balag	Inana-Dumuzi	
PRAK B 420	P344236	Ist —	4060	Balag Uncertain Deity (315)	Balag	Uncertain	
PRAK B 421	P344237	Ist —	4070	Uncertain TT Enlil (491)	Uncertain	Enlil	
PRAK B 425	P344241	Ist —	4080	Balag ID (151)	Balag	Inana-Dumuzi	
PRAK B 447	P344263	Ist —	4090	Balag ID (152)	Balag	Inana-Dumuzi	
PRAK B 460	P344277	Ist —	4100	Balag Bau (203)	Balag	Bau	
PRAK B 461	P344278	Ist —	4110	Ershemma ID (377)	Ershemma	Inana-Dumuzi	
PRAK B 463	P344280	Ist —	4120	Uncertain TT and D (503)	Uncertain	Uncertain	
PRAK B 465	P344282	Ist —	4140	Balag Enlil (216)	Balag	Enlil	
PRAK B 471	P344288	Ist —	4150	Balag AD (193)	Balag	Aruru-Dingirmah	
PRAK B 471bis	P344289	Ist —	4160	Balag ID (153)	Balag	Inana-Dumuzi	
PRAK C 005	P344880	AO 10625	4170	Ershemma ID (378)	Ershemma	Inana-Dumuzi	
PRAK C 006	P344881	AO 10626	4180	Balag ID (154)	Balag	Inana-Dumuzi	
PRAK C 007	P344882	AO 10627	4190	Balag ID (155)	Balag	Inana-Dumuzi	
PRAK C 008 +	P345055	AO 10628 + AO 10724 + AO 10754 + AO 10758 (+) AO 10800	4200	Balag ID (103)	Balag	Inana-Dumuzi	
PRAK C 009	P344884	AO 10629	4210	Balag Enlil (236)	Balag	Enlil	
PRAK C 023 + PRAK C 032	P344898	AO 10643 + AO 10652	4250	Uncertain TT NG (480)	Uncertain	Ninisina-Gula	
PRAK C 026	P344901	AO 10646	4220	Balag ID (104)	Balag	Inana-Dumuzi	
PRAK C 027	P344902	AO 10647	4230	Balag ID (156)	Balag	Inana-Dumuzi	
PRAK C 031	P344906	AO 10651 + AO 10714 + AO 10717 + AO 10756	4240	Balag AD (194)	Balag	Aruru-Dingirmah	
PRAK C 034	X000113	AO 10654	4260	Ershemma Enlil (425)	Ershemma	Enlil	
PRAK C 039 +	P493270	AO 10713	4270	Ershemma Enlil (416)	Ershemma	Enlil	
PRAK C 042	P344916	AO 10662	4280	Balag ID (157)	Balag	Inana-Dumuzi	
PRAK C 047 +	P344921	AO 10667 + AO 10735	4290	Ershemma ID (340)	Ershemma	Inana-Dumuzi	
PRAK C 048	P344922	AO 10668	4300	Uncertain TT and D (504)	Uncertain	Uncertain	
PRAK C 049	P344923	AO 10669	4310	Balag Uncertain Deity (316)	Balag	Uncertain	
PRAK C 050	P344924	AO 10670	4320	Ershemma Enlil (426)	Ershemma	Enlil	
PRAK C 051	P344925	AO 10671	4330	Ershemma ID (379)	Ershemma	Inana-Dumuzi	
PRAK C 052 +	P344926	AO 10672 + AO 10737 +	4340	Balag ID (21)	Balag	Inana-Dumuzi	
PRAK C 054	P344928	AO 10674	4350	Ershemma ID (341)	Ershemma	Inana-Dumuzi	
PRAK C 056	P344930	AO 10676	4360	Balag AD (195)	Balag	Aruru-Dingirmah	
PRAK C 057	P344931	AO 10677	4370	Ershemma Enlil (417)	Ershemma	Enlil	
PRAK C 058	P344932	AO 10678	4380	Balag ID (158)	Balag	Inana-Dumuzi	
PRAK C 062 (+)? PRAK C 116	P344936	AO 10682 (+) AO 10732					
PRAK C 063	P344937	AO 10683	4390	Balag ID (159)	Balag	Inana-Dumuzi	
PRAK C 065	P344939	AO 10685	4400	Ershemma Enki (453)	Ershemma	Enki	
PRAK C 070	P344944	AO 10687	4410	Balag ID (160)	Balag	Inana-Dumuzi	
PRAK C 072	P344946	AO 10688	4420	Balag Enlil (237)	Balag	Enlil	
PRAK C 074	P344948	AO 10690	4430	Balag ID (50)	Balag	Inana-Dumuzi	
PRAK C 092	P344965	AO 10708	4440	Balag ID (161)	Balag	Inana-Dumuzi	
PRAK C 093	P344966	AO 10709	4450	Balag Uncertain Deity (317)	Balag	Uncertain	
PRAK C 099	P344972	AO 10715	4460	Balag Uncertain Deity (318)	Balag	Uncertain	
PRAK C 100	P344973	AO 10716	4470	Uncertain TT NG (481)	Uncertain	Ninisina-Gula	
PRAK C 105 + PRAK C 113	P344978	AO 10721 + 10729	4480	Ershemma Šulpae (452)	Ershemma	Šulpae	
PRAK C 118	P344991	AO 10734	4500	Balag ID (51)	Balag	Inana-Dumuzi	
PRAK C 122	P344995	AO 10738	4510	Balag Enlil (264)	Balag	Enlil	
PRAK C 124	P344997	AO 10740	4520	Balag ID (5)	Balag	Inana-Dumuzi	
PRAK C 129	X000114		4530	Balag Enlil (265)	Balag	Enlil	
PRAK C 130	P345003	AO 10746	4540	Uncertain TT and D (505)	Uncertain	Uncertain	
PRAK D 001 + PRAK D 040	P345017	AO 10760 + AO 10799	4550	Ershemma Enlil (427)	Ershemma	Enlil	
PRAK D 002	P345018	AO 10761	4560	Ershemma Utu (435)	Ershemma	Utu	
PRAK D 007 + PRAK D 038	P345023	AO 10766 + AO 10797	4570	Balag ID (52)	Balag	Inana-Dumuzi	
PRAK D 045	P345059	AO 10804	4580	Ershemma NG (392)	Ershemma	Ninisina-Gula	
PRAK D 061	P345074	AO 10820	4590	Balag ID (162)	Balag	Inana-Dumuzi	
RA 008, 161	P355691	O12/0.095	4950	Ershemma ID (332)	Ershemma	Inana-Dumuzi	
RA 016, 208	P290067	NBC 01315	20	Balag Enlil (205)	Balag	Enlil	
RA 017, 050	X130519		4960	Balag AD (189)	Balag	Aruru-Dingirmah	
RA 019, 184-5	P355693	AO 03023	2240	Ershemma Ninhursag (399)	Ershemma	Ninhursag	
RA 084, 119-124	P423975	MAH 16014	4880	Ershemma ID (330)	Ershemma	Inana-Dumuzi	
RA 094, 012-013	P355682	MAH 16016	4890	Ershemma ID (382)	Ershemma	Inana-Dumuzi	
RA 114, 098 11	P355669	Sb 12436	2520	Balag ID (23)	Balag	Inana-Dumuzi	
RA 15, 127-134	X907122					Nanše	
RIAA 189	P227377	MRAH O.0017	4930	Ershemma AD (395)	Ershemma	Aruru-Dingirmah	
RIAA 203	P227379	MRAH O.0053	4940	Ershemma Ninlil (400)	Ershemma	Ninlil	
SLTNi 063	P345194	Ist Ni 02312					
SLTNi 103	P345234	Ni 02922			City Lament ?		
SLTNi 110	P345241	Ist Ni 02405	3520	Balag Enlil (262)	Balag	Enlil	
SLTNi 45	P345176	Ist Ni 03074				Inana	
SRT 047	P345338	Ni 02415					
SRT 46	P345337	Ist Ni 02412	3530	Balag ID (17)	Balag	Inana-Dumuzi	
Studies Finkelstein 140	P355694	BM 024975	270	Ershemma ID (342)	Ershemma	Inana-Dumuzi	
Šu-Suen A	P345315	Ni 2463				Inana-Dumuzi	
Šulgi Z	P343098	Ist Ni 04171				Inana	
TCL 15, 01	P345345	AO 03024	2250	Balag Sud (204)	Balag	Sud	
TCL 15, 03 (+) BL VI	P345347	AO 03925 (+) NMS A.1909.405.27				Šulpae; Inana	
TCL 15, 04	P345348	AO 03926	2260	Balag Enlil (251)	Balag	Enlil	
TCL 15, 05	P345349	AO 03927	2270	Balag Uncertain Deity (302)	Balag	Uncertain	
TCL 15, 08	P345352	AO 05374	2280	Balag ID (89)	Balag		
TCL 15, 20	P345364	AO 05385				Inana-Dumuzi	
TCL 16, 68	P345412	AO 06905b	2290	Balag ID (12)	Balag	Inana-Dumuzi	
TCL 16, 69	P345413	AO 06906a	2300	Balag ID (38)	Balag	Inana-Dumuzi	
TCL 16, 74	P345418	AO 07684	2310	Uncertain TT ID (420)	Uncertain	Inana-Dumuzi	
TCL 16, 75 + VS 10, 155	P345419	AO 07685 + VAT 03417	2320	Ershemma NG (390)	Ershemma	Ninisina-Gula	
TCL 16, 76	P345420	AO 07686	2330	Balag Enlil (252)	Balag	Enlil	
TCL 16, 78	P345422	AO 07697	2350	Ershemma ID (336)	Ershemma	Inana-Dumuzi	
TCL 16, 95	P345439	AO 09070	2360	Balag ID (90)	Balag	Inana-Dumuzi	
TH00-T0017	X907119					Inana	
TH00-T0018	X907121						
TH00-T0057a +	X907120					Enlil	
TIM 09, 005	P223438	IM 043413			Ershahunga		
TIM 09, 010	P223449	IM 44539a				Inana-Dumuzi	
TIM 09, 014	P223411	IM 11087, 085 (065)				Inana-Dumuzi	
TIM 09, 015	P223481	IM 062827	4750	Balag ID (53)	Balag	Inana-Dumuzi	
TIM 09, 030	P223475	IM 054345	4730	Ershemma Utu (438)	Ershemma	Utu	
TIM 09, 031	P223457	IM 051253	4720	Balag ID (167)	Balag	Inana-Dumuzi	
TLB 02, 01	P389155	LB 0691	4840	Balag ID (106)	Balag	Inana-Dumuzi	
TLB 02, 06	P345845	LB 1823	4850	Balag Enlil (266)	Balag	Enlil	
TMH NF 4, 17 + TMH NF 4, 50	P345662	HS 1484 + HS 2520 + HS 2521 + HS 2683 + HS 2851 + HS 1453c	3570	Balag Enlil (226)	Balag	Enlil	
TMH NF 4, 56	P345696	HS 1507	3590	Balag ID (101)	Balag	Inana-Dumuzi	
TMH NF 4, 84	P345721	HS 1431 + HS 2722	3560	Uncertain TT Enlil (261)	Uncertain	Enlil	
TUM 3, 26	P345621	HS 1494	3580	Ershemma ID (329)	Ershemma	Inana-Dumuzi	
UET 6, 0191	P346276	BM —				Enlil	
UET 6, 121	P346206	BM —				Inana-Dumuzi	
UET 6, 122	P346207	BM —				Inana-Dumuzi	
UET 6, 140	P346225					Inana	
UET 6, 22	P346107	BM —				Inana-Dumuzi	
UET 6, 473	P346511	BM —				Inana	
ULCI 17	X907115	ULCI 17				Enlil	
UM 29-13-596 +	P255527	UM 29-13-596 + N 4188	3430	Balag Uncertain Deity (306)	Balag	Uncertain	
UM 29-15-242	P256070	UM 29-15-242				Inana-Dumuzi	
UM 29-15-368 + UM 29-15-443	P256178	UM 29-15-368 + UM 29-15-443	3440	Balag ID (44)	Balag	Inana-Dumuzi	
UM 29-15-636	P256368	UM 29-15-636	3450	Balag Uncertain Deity (307)	Balag	Uncertain	
UM 29-16-37	P256650	UM 29-16-37				Inana-Dumuzi	
UM 29-16-435	P256933	UM 29-16-435				Inana-Dumuzi	
UM 29-16-532	P257010	UM 29-16-532	3460	Balag ID (96)	Balag	Inana-Dumuzi	
UM 29-16-762	P257179	UM 29-16-762	3470	Balag ID (125)	Balag	Inana-Dumuzi	
UM 29-16-8	P256630	UM 29-16-8				Inana-Dumuzi	
UM 55-21-309	P257383	UM 55-21-309				Inana-Dumuzi	
Utu E; Utu F	P355673	BM 023631			Shirnamshub	Utu	
VAT 03578	X130506	VAT 03578	2090	Uncertain TT ID (470)	Uncertain	Inana-Dumuzi	
VS 02, 001	P342809	VAT 00608 + VAT 01345	980	Collective Tablet	Collective	Collective	
VS 02, 002	P342810	VAT 00617	1040	Collective Tablet (334, 402 and 410)	Collective Tablet	Inana-Dumuzi	
VS 02, 003	P342811	VAT 00604 + VAT 00614 + VAT 01350 (+) VAT 01370	940	Balag ID (29)	Balag	Inana-Dumuzi	
VS 02, 004	P342812	VAT 00613 + VAT 01335 + VAT 01349	1020	Balag ID (73)	Collective Tablet		
VS 02, 005 +	P342813	VAT 01338 + VAT 01348 + VAT 01406 + VAT 02164 + VAT 03702	1110	Balag Enlil (213)	Balag	Enlil	
VS 02, 006	P342814	VAT 01379	1260	Balag Enlil (243)	Balag	Enlil	
VS 02, 007 (+) VS 2, 013	P342815	VAT 01337 + VAT 01363 (+) VAT 01567	1100	Balag Enlil (212)	Balag	Enlil	
VS 02, 008	P342816	VAT 00605 + VAT 01362 + VAT 01368 + VAT 01374 + VAT 01388	950	Balag Enlil (210)	Balag	Enlil	
VS 02, 009	P342817	VAT 01465	1530	Balag Enlil (214)	Balag	Enlil	
VS 02, 010	P342818	VAT 01438 + VAT 01529 + VAT 01530	1490	Balag Enlil (221)	Balag	Enlil	
VS 02, 011	P342819	VAT 00607 + VAT 00616 + VAT 01353 + AO 03924	970	Balag Enlil (211)	Balag	Enlil	
VS 02, 014	P342822	VAT 01407	1340	Balag Enlil (244)	Balag	Enlil	
VS 02, 015	P342823	VAT 01356	1170	Uncertain TT Enlil (483)	Uncertain	Enlil	
VS 02, 017	P342825	VAT 01346	1150	Balag Enlil (241)	Balag	Enlil	
VS 02, 018	P342826	VAT 01342	1130	Balag Enlil (240)	Balag	Enlil	
VS 02, 019	P342827	VAT 01423	1450	Ershemma Enlil (413)	Ershemma	Enlil	
VS 02, 020	P342828	VAT 01382 + VAT 01383	1290	Balag NG (175)	Balag	Ninisina-Gula	
VS 02, 021	P342829	VAT 01373	1230	Balag Enlil (242)	Balag	Enlil	
VS 02, 022	P342830	VAT 01381	1280	Balag Uncertain Deity (290)	Balag	Uncertain	
VS 02, 023	P342831	VAT 01564	1690	Balag Uncertain Deity (294)	Balag	Uncertain	
VS 02, 024	P342832	VAT 01566	1700	Balag Enlil (245)	Balag	Enlil	
VS 02, 025	P342833	VAT 00609 + VAT 00618 + VAT 01355 + VAT 01358 + VAT 01369 + VAT 01392 + VAT 01396 + VAT 01397 + VAT 01565	990	Balag NG (169)	Balag	Ninisina-Gula	
VS 02, 026	P342834	VAT 00611 + VAT 00612 + VAT 01321	1010	Balag ID (30)	Balag	Inana-Dumuzi	
VS 02, 027	P342835	VAT 07032	2180	Balag ID (84)	Balag	Inana-Dumuzi	
VS 02, 028	P342836	VAT 01410 + VAT 01411	1360	Balag ID (32)	Balag	Inana-Dumuzi	
VS 02, 029	P342837	VAT 01339	1120	Balag ID (10)	Balag	Inana-Dumuzi	
VS 02, 030	P342838	VAT 01385 + VAT 01386	1310	Balag ID (76)	Balag	Inana-Dumuzi	
VS 02, 031	P342839	VAT 00615 + VAT 01394 (+) VAT 01340	1030	Balag ID (74)	Balag	Inana-Dumuzi	
VS 02, 032	P342840	VAT 01412	1370	Balag ID (77)	Balag	Inana-Dumuzi	
VS 02, 033	P342841	VAT 01347	1160	Balag NG (174)	Balag	Ninisina-Gula	
VS 02, 034	P342842	VAT 06085	2170	Ershemma ID (335)	Ershemma	Inana-Dumuzi	
VS 02, 036	P342844	VAT 01462	1520	Balag ID (11)	Balag	Inana-Dumuzi	
VS 02, 037	P342845	VAT 01434 (+) VAT 01435	1470	Ershemma ID (364)	Ershemma	Inana-Dumuzi	
VS 02, 038	P342846	VAT 01420	1430	Ershemma ID (362)	Ershemma	Inana-Dumuzi	
VS 02, 039	P342847	VAT 01432	1460	Balag ID (33)	Balag	Inana-Dumuzi	
VS 02, 040	X000110	VAT 01365 + VAT 01366	1200	Ershemma ID (361)	Ershemma	Inana-Dumuzi	
VS 02, 041	P342849	VAT 01408	1350	Balag ID (111)	Balag	Inana-Dumuzi	
VS 02, 042	P342850	VAT 01389	1320	Balag ID (110)	Balag	Inana-Dumuzi	
VS 02, 043	P342851	VAT 01336	1090	Uncertain TT NG (479)	Uncertain	Ninisina-Gula	
VS 02, 044	P342852	VAT 01453	1510	Balag ID (78)	Balag	Inana-Dumuzi	
VS 02, 045	P342848	VAT 01360 + VAT 01391 (+?) VAT 01361	1180	Ershemma ID (360)	Ershemma	Inana-Dumuzi	
VS 02, 046	P342854	VAT 01378				Inana-Dumuzi	
VS 02, 047	P342855	VAT 01320			Ershahunga		
VS 02, 048	P342856	VAT 01437	1480	Ershemma ID (365)	Ershemma	Inana-Dumuzi	
VS 02, 049	P342857	VAT 01546	1630	Balag ID (112)	Balag	Inana-Dumuzi	
VS 02, 050	P342858	VAT 01436					
VS 02, 051	P342859	VAT 01415	1390	Ershemma Iškur (280)	Ershemma	Iškur	
VS 02, 052	P342860	VAT 00606	960	Balag Enlil (239)	Balag	Enlil	
VS 02, 054	P342862	VAT 01443	1500	Balag NG (177)	Balag	Ninisina-Gula	
VS 02, 055	P342863	VAT 01558	1670	Balag NG (178)	Balag	Ninisina-Gula	
VS 02, 056	P342864	VAT 01542	1600	Ershemma ID (366)	Ershemma	Inana-Dumuzi	
VS 02, 057	P342865	VAT 01576	1720	Balag ID (113)	Balag	Inana-Dumuzi	
VS 02, 058	P342866	VAT 01380	1270	Uncertain TT and D (493)	Uncertain	Uncertain	
VS 02, 059	P342867	VAT 01472	1540	Balag ID (34)	Balag	Inana-Dumuzi	
VS 02, 060	P342868	VAT 01463				Inana-Dumuzi	
VS 02, 061	P342869	VAT 01544	1620	Ershemma NG (389)	Ershemma	Ninisina-Gula	
VS 02, 062	P342870	VAT 01548	1640	Ershemma Enlil (411)	Ershemma	Enlil	
VS 02, 064	P342872	VAT 00610	1000	Balag NG (171)	Balag	Ninisina-Gula	
VS 02, 065	P342873	VAT 06086			Shirnamshub	Nisaba	
VS 02, 066	P342874	VAT 01416	1400	Balag Enki (277)	Balag	Enki	
VS 02, 067	P342875	VAT 01541	1590	Balag Enki (276)	Balag	Enki	
VS 02, 068	P342876	VAT 01354			Shirnamshub	Suen	
VS 02, 069 (+) VS 02, 071	P342877	VAT 01509 (+) VAT 01557	1550	Ershemma Utu (434)	Ershemma	Utu	
VS 02, 070	P342878	VAT 01314	1060	Ershemma Utu (429)	Ershemma	Utu	
VS 02, 072	P342880	VAT 01344	1140	Ershemma Utu (436)	Ershemma	Utu	
VS 02, 073 +	P342881	VAT 01323 + VAT 03538 (+) VAT 1395	1070	Ershemma Utu (430)	Ershemma	Utu	
VS 02, 074	P342882	VAT 01377	1240	Ershemma Iškur (445)	Ershemma	Iškur	
VS 02, 075	P342883	VAT 01372	1220	Balag Uncertain Deity (289)	Balag	Nanna, Martu	
VS 02, 076	P342884	VAT 01417	1410	Balag Martu (272)	Balag	Martu	
VS 02, 077	P342885	VAT 01384	1300	Ershemma Martu (447)	Ershemma	Martu	
VS 02, 078	P342886	VAT 06110				Šulpae	
VS 02, 079	P342887	VAT 00603				Nergal	
VS 02, 080	P342888	VAT 01393					
VS 02, 081	P342889	VAT 01398					
VS 02, 083	P342891	VAT 01568					
VS 02, 084	P342892	VAT 01399					
VS 02, 085	P342893	VAT 01533	1570	Uncertain TT ID (469)	Uncertain	Inana-Dumuzi	
VS 02, 086	P342894	VAT 01543	1610	Ershemma Uncertain Deity (460)	Ershemma	Uncertain	
VS 02, 087	P342895	VAT 01538	1580	Balag Uncertain Deity (292)	Balag	Uncertain	
VS 02, 088	P342896	VAT 01390	1330	Balag Uncertain Deity (291)	Balag	Uncertain	
VS 02, 090	P342898	VAT 01563	1680	Balag ID (80)	Balag	Inana-Dumuzi	
VS 02, 091	P342899	VAT 01375					
VS 02, 092 + TCL 16, 77	P342900	VAT 01364 + AO 07687	1190	Balag Enlil (253)	Balag	Enlil	
VS 02, 093	P342901	VAT 01467					
VS 02, 094	P342902	VAT 01419	1420	Ershemma ID (348)	Ershemma	Inana-Dumuzi	
VS 02, 095	P342903	VAT 01367 + VAT 01409	1210	Ershemma ID (347)	Ershemma	Inana-Dumuzi	
VS 02, 096 (+) VS 02, 053	P342904	VAT 01414 (+) VAT 01442	1380	Balag NG (176)	Balag	Ninisina-Gula	
VS 10, 101	P342909	VAT 04112	2130	Ershemma Enlil (414)	Ershemma	Enlil	
VS 10, 102	P342910	VAT 03421 + VAT 03432	1760	Balag Enlil (246)	Balag	Enlil	
VS 10, 103	P342911	VAT 03423	1780	Balag Enlil (247)	Balag	Enlil	
VS 10, 104	P342912	VAT 03425	1790	Balag Enlil (248)	Balag	Enlil	
VS 10, 105	P342913	VAT 03418					
VS 10, 106	P342914	VAT 03429					
VS 10, 107	P342915	VAT 03471	1840	Balag Enlil (231)	Balag	Enlil	
VS 10, 108	P342916	VAT 03567 + VAT 03582	2050	Balag Enlil (250)	Balag	Enlil	
VS 10, 109	P342917	VAT 03561	2040	Ershemma Nanna-Suen (456)	Ershemma	Nanna-Suen	
VS 10, 110	P342918	VAT 03533	1910	Ershemma ID (349)	Ershemma	Inana-Dumuzi	
VS 10, 111	P342919	VAT 03551	1980	Ershemma ID (350)	Ershemma	Inana-Dumuzi	
VS 10, 112	P342920	VAT 03579					
VS 10, 113	P342921	VAT 03580	2100	Ershemma Nanna-Suen (457)	Ershemma	Nanna-Suen	
