id_text	OB Liturgy	type	deity	designation
P344901	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 026
P344902	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 027
P344906	OB Liturgy	Balag	Aruru-Dingirmah	PRAK C 031
X000113	OB Liturgy	Ershemma	Enlil	PRAK C 034
P493270	OB Liturgy	Ershemma	Enlil	PRAK C 039 +
P344916	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 042
P344921	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK C 047 +
P344922	OB Liturgy	Uncertain	Uncertain	PRAK C 048
P344923	OB Liturgy	Balag	Uncertain	PRAK C 049
P344924	OB Liturgy	Ershemma	Enlil	PRAK C 050
P344925	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK C 051
P344926	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 052 +
P344928	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK C 054
P344930	OB Liturgy	Balag	Aruru-Dingirmah	PRAK C 056
P344931	OB Liturgy	Ershemma	Enlil	PRAK C 057
P344932	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 058
P344936	OB Liturgy			PRAK C 062 (+)? PRAK C 116
P344937	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 063
P344939	OB Liturgy	Ershemma	Enki	PRAK C 065
P344944	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 070
P344946	OB Liturgy	Balag	Enlil	PRAK C 072
P344948	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 074
P344965	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 092
P344966	OB Liturgy	Balag	Uncertain	PRAK C 093
P344972	OB Liturgy	Balag	Uncertain	PRAK C 099
P344973	OB Liturgy	Uncertain	Ninisina-Gula	PRAK C 100
P344978	OB Liturgy	Ershemma	Šulpae	PRAK C 105 + PRAK C 113
P344991	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 118
P344995	OB Liturgy	Balag	Enlil	PRAK C 122
P344997	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 124
X000114	OB Liturgy	Balag	Enlil	PRAK C 129
P345003	OB Liturgy	Uncertain	Uncertain	PRAK C 130
P345017	OB Liturgy	Ershemma	Enlil	PRAK D 001 + PRAK D 040
P345018	OB Liturgy	Ershemma	Utu	PRAK D 002
P345023	OB Liturgy	Balag	Inana-Dumuzi	PRAK D 007 + PRAK D 038
P345059	OB Liturgy	Ershemma	Ninisina-Gula	PRAK D 045
P345074	OB Liturgy	Balag	Inana-Dumuzi	PRAK D 061
P355691	OB Liturgy	Ershemma	Inana-Dumuzi	RA 008, 161
P290067	OB Liturgy	Balag	Enlil	RA 016, 208
X130519	OB Liturgy	Balag	Aruru-Dingirmah	RA 017, 050
P355693	OB Liturgy	Ershemma	Ninhursag	RA 019, 184-5
P423975	OB Liturgy	Ershemma	Inana-Dumuzi	RA 084, 119-124
P355682	OB Liturgy	Ershemma	Inana-Dumuzi	RA 094, 012-013
P355669	OB Liturgy	Balag	Inana-Dumuzi	RA 114, 098 11
X907122	OB Liturgy		Nanše	RA 15, 127-134
P227377	OB Liturgy	Ershemma	Aruru-Dingirmah	RIAA 189
P227379	OB Liturgy	Ershemma	Ninlil	RIAA 203
P345194	OB Liturgy			SLTNi 063
P345234	OB Liturgy	City Lament ?		SLTNi 103
P345241	OB Liturgy	Balag	Enlil	SLTNi 110
P345176	OB Liturgy		Inana	SLTNi 45
P345338	OB Liturgy			SRT 047
P345337	OB Liturgy	Balag	Inana-Dumuzi	SRT 46
P355694	OB Liturgy	Ershemma	Inana-Dumuzi	Studies Finkelstein 140
P345315	OB Liturgy		Inana-Dumuzi	Šu-Suen A
P343098	OB Liturgy		Inana	Šulgi Z
P345345	OB Liturgy	Balag	Sud	TCL 15, 01
P345347	OB Liturgy		Šulpae; Inana	TCL 15, 03 (+) BL VI
P345348	OB Liturgy	Balag	Enlil	TCL 15, 04
P345349	OB Liturgy	Balag	Uncertain	TCL 15, 05
P345352	OB Liturgy	Balag		TCL 15, 08
P345364	OB Liturgy		Inana-Dumuzi	TCL 15, 20
P345412	OB Liturgy	Balag	Inana-Dumuzi	TCL 16, 68
P345413	OB Liturgy	Balag	Inana-Dumuzi	TCL 16, 69
P345418	OB Liturgy	Uncertain	Inana-Dumuzi	TCL 16, 74
P345419	OB Liturgy	Ershemma	Ninisina-Gula	TCL 16, 75 + VS 10, 155
P345420	OB Liturgy	Balag	Enlil	TCL 16, 76
P345422	OB Liturgy	Ershemma	Inana-Dumuzi	TCL 16, 78
P345439	OB Liturgy	Balag	Inana-Dumuzi	TCL 16, 95
X907119	OB Liturgy		Inana	TH00-T0017
X907121	OB Liturgy			TH00-T0018
X907120	OB Liturgy		Enlil	TH00-T0057a +
P223438	OB Liturgy	Ershahunga		TIM 09, 005
P223449	OB Liturgy		Inana-Dumuzi	TIM 09, 010
P223411	OB Liturgy		Inana-Dumuzi	TIM 09, 014
P223481	OB Liturgy	Balag	Inana-Dumuzi	TIM 09, 015
P223475	OB Liturgy	Ershemma	Utu	TIM 09, 030
P223457	OB Liturgy	Balag	Inana-Dumuzi	TIM 09, 031
P389155	OB Liturgy	Balag	Inana-Dumuzi	TLB 02, 01
P345845	OB Liturgy	Balag	Enlil	TLB 02, 06
P345662	OB Liturgy	Balag	Enlil	TMH NF 4, 17 + TMH NF 4, 50
P345696	OB Liturgy	Balag	Inana-Dumuzi	TMH NF 4, 56
P345721	OB Liturgy	Uncertain	Enlil	TMH NF 4, 84
P345621	OB Liturgy	Ershemma	Inana-Dumuzi	TUM 3, 26
P346276	OB Liturgy		Enlil	UET 6, 0191
P346206	OB Liturgy		Inana-Dumuzi	UET 6, 121
P346207	OB Liturgy		Inana-Dumuzi	UET 6, 122
P346225	OB Liturgy		Inana	UET 6, 140
P346107	OB Liturgy		Inana-Dumuzi	UET 6, 22
P346511	OB Liturgy		Inana	UET 6, 473
X907115	OB Liturgy		Enlil	ULCI 17
P255527	OB Liturgy	Balag	Uncertain	UM 29-13-596 +
P256070	OB Liturgy		Inana-Dumuzi	UM 29-15-242
P256178	OB Liturgy	Balag	Inana-Dumuzi	UM 29-15-368 + UM 29-15-443
P256368	OB Liturgy	Balag	Uncertain	UM 29-15-636
P256650	OB Liturgy		Inana-Dumuzi	UM 29-16-37
P256933	OB Liturgy		Inana-Dumuzi	UM 29-16-435
P257010	OB Liturgy	Balag	Inana-Dumuzi	UM 29-16-532
P257179	OB Liturgy	Balag	Inana-Dumuzi	UM 29-16-762
P256630	OB Liturgy		Inana-Dumuzi	UM 29-16-8
P257383	OB Liturgy		Inana-Dumuzi	UM 55-21-309
P355673	OB Liturgy	Shirnamshub	Utu	Utu E; Utu F
X130506	OB Liturgy	Uncertain	Inana-Dumuzi	VAT 03578
P342809	OB Liturgy	Collective	Collective	VS 02, 001
P342810	OB Liturgy	Collective Tablet	Inana-Dumuzi	VS 02, 002
P342811	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 003
P342812	OB Liturgy	Collective Tablet		VS 02, 004
P342813	OB Liturgy	Balag	Enlil	VS 02, 005 +
P342814	OB Liturgy	Balag	Enlil	VS 02, 006
P342815	OB Liturgy	Balag	Enlil	VS 02, 007 (+) VS 2, 013
P342816	OB Liturgy	Balag	Enlil	VS 02, 008
P342817	OB Liturgy	Balag	Enlil	VS 02, 009
P342818	OB Liturgy	Balag	Enlil	VS 02, 010
P342819	OB Liturgy	Balag	Enlil	VS 02, 011
P342822	OB Liturgy	Balag	Enlil	VS 02, 014
P342823	OB Liturgy	Uncertain	Enlil	VS 02, 015
P342825	OB Liturgy	Balag	Enlil	VS 02, 017
P342826	OB Liturgy	Balag	Enlil	VS 02, 018
P342827	OB Liturgy	Ershemma	Enlil	VS 02, 019
P342828	OB Liturgy	Balag	Ninisina-Gula	VS 02, 020
P342829	OB Liturgy	Balag	Enlil	VS 02, 021
P342830	OB Liturgy	Balag	Uncertain	VS 02, 022
P342831	OB Liturgy	Balag	Uncertain	VS 02, 023
P342832	OB Liturgy	Balag	Enlil	VS 02, 024
P342833	OB Liturgy	Balag	Ninisina-Gula	VS 02, 025
P342834	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 026
P342835	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 027
P342836	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 028
P342837	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 029
P342838	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 030
P342839	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 031
P342840	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 032
P342841	OB Liturgy	Balag	Ninisina-Gula	VS 02, 033
P342842	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 034
P342844	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 036
P342845	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 037
P342846	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 038
P342847	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 039
X000110	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 040
P342849	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 041
P342850	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 042
P342851	OB Liturgy	Uncertain	Ninisina-Gula	VS 02, 043
P342852	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 044
P342848	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 045
P342854	OB Liturgy		Inana-Dumuzi	VS 02, 046
P342855	OB Liturgy	Ershahunga		VS 02, 047
P342856	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 048
P342857	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 049
P342858	OB Liturgy			VS 02, 050
P342859	OB Liturgy	Ershemma	Iškur	VS 02, 051
P342860	OB Liturgy	Balag	Enlil	VS 02, 052
P342862	OB Liturgy	Balag	Ninisina-Gula	VS 02, 054
P342863	OB Liturgy	Balag	Ninisina-Gula	VS 02, 055
P342864	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 056
P342865	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 057
P342866	OB Liturgy	Uncertain	Uncertain	VS 02, 058
P342867	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 059
P342868	OB Liturgy		Inana-Dumuzi	VS 02, 060
P342869	OB Liturgy	Ershemma	Ninisina-Gula	VS 02, 061
P342870	OB Liturgy	Ershemma	Enlil	VS 02, 062
P342872	OB Liturgy	Balag	Ninisina-Gula	VS 02, 064
P342873	OB Liturgy	Shirnamshub	Nisaba	VS 02, 065
P342874	OB Liturgy	Balag	Enki	VS 02, 066
P342875	OB Liturgy	Balag	Enki	VS 02, 067
P342876	OB Liturgy	Shirnamshub	Suen	VS 02, 068
P342877	OB Liturgy	Ershemma	Utu	VS 02, 069 (+) VS 02, 071
P342878	OB Liturgy	Ershemma	Utu	VS 02, 070
P342880	OB Liturgy	Ershemma	Utu	VS 02, 072
P342881	OB Liturgy	Ershemma	Utu	VS 02, 073 +
P342882	OB Liturgy	Ershemma	Iškur	VS 02, 074
P342883	OB Liturgy	Balag	Nanna, Martu	VS 02, 075
P342884	OB Liturgy	Balag	Martu	VS 02, 076
P342885	OB Liturgy	Ershemma	Martu	VS 02, 077
P342886	OB Liturgy		Šulpae	VS 02, 078
P342887	OB Liturgy		Nergal	VS 02, 079
P342888	OB Liturgy			VS 02, 080
P342889	OB Liturgy			VS 02, 081
P342891	OB Liturgy			VS 02, 083
P342892	OB Liturgy			VS 02, 084
P342893	OB Liturgy	Uncertain	Inana-Dumuzi	VS 02, 085
P342894	OB Liturgy	Ershemma	Uncertain	VS 02, 086
P342895	OB Liturgy	Balag	Uncertain	VS 02, 087
P342896	OB Liturgy	Balag	Uncertain	VS 02, 088
P342898	OB Liturgy	Balag	Inana-Dumuzi	VS 02, 090
P342899	OB Liturgy			VS 02, 091
P342900	OB Liturgy	Balag	Enlil	VS 02, 092 + TCL 16, 77
P342901	OB Liturgy			VS 02, 093
P342902	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 094
P342903	OB Liturgy	Ershemma	Inana-Dumuzi	VS 02, 095
P342904	OB Liturgy	Balag	Ninisina-Gula	VS 02, 096 (+) VS 02, 053
P342909	OB Liturgy	Ershemma	Enlil	VS 10, 101
P342910	OB Liturgy	Balag	Enlil	VS 10, 102
P342911	OB Liturgy	Balag	Enlil	VS 10, 103
P342912	OB Liturgy	Balag	Enlil	VS 10, 104
P342913	OB Liturgy			VS 10, 105
P342914	OB Liturgy			VS 10, 106
P342915	OB Liturgy	Balag	Enlil	VS 10, 107
P342916	OB Liturgy	Balag	Enlil	VS 10, 108
P342917	OB Liturgy	Ershemma	Nanna-Suen	VS 10, 109
P342918	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 110
P342919	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 111
P342920	OB Liturgy			VS 10, 112
P342921	OB Liturgy	Ershemma	Nanna-Suen	VS 10, 113
P342922	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 114
P342923	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 115
P342924	OB Liturgy			VS 10, 116
P342925	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 117 + BM 80541
P342926	OB Liturgy			VS 10, 118
P342927	OB Liturgy	Balag	Uncertain	VS 10, 119
P342928	OB Liturgy			VS 10, 120
P342929	OB Liturgy			VS 10, 121
P342930	OB Liturgy			VS 10, 122
P342931	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 123
P342932	OB Liturgy			VS 10, 124
P342933	OB Liturgy			VS 10, 125
P342934	OB Liturgy			VS 10, 126
P342936	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 128
P342937	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 129
P342938	OB Liturgy	Ershemma	Uncertain	VS 10, 130
P342939	OB Liturgy	Ershemma	Martu	VS 10, 131
P342940	OB Liturgy			VS 10, 132
P342941	OB Liturgy			VS 10, 133
P342942	OB Liturgy			VS 10, 134
P342943	OB Liturgy	Balag	Enlil	VS 10, 135
P342944	OB Liturgy			VS 10, 136
P342945	OB Liturgy			VS 10, 137
P342946	OB Liturgy			VS 10, 138
P342947	OB Liturgy			VS 10, 139
P342948	OB Liturgy			VS 10, 140
P342949	OB Liturgy			VS 10, 141
P342950	OB Liturgy			VS 10, 142
P342951	OB Liturgy			VS 10, 143
P342952	OB Liturgy	Uncertain	Enlil	VS 10, 144
P342954	OB Liturgy	Ershemma	Uncertain	VS 10, 146
P342955	OB Liturgy			VS 10, 147
P342956	OB Liturgy	Ershemma	Utu	VS 10, 148
P342957	OB Liturgy	Balag	Utu	VS 10, 149
P342958	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 150
P342959	OB Liturgy	Balag	Enlil	VS 10, 151
P342961	OB Liturgy	Ershemma	Iškur	VS 10, 153
P342962	OB Liturgy	Uncertain	Enlil	VS 10, 154
P342965	OB Liturgy	Balag	Uncertain	VS 10, 157
P342966	OB Liturgy	Uncertain	Utu	VS 10, 158
P342967	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 159
P342968	OB Liturgy			VS 10, 160
P342969	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 161
P342970	OB Liturgy			VS 10, 162
P342971	OB Liturgy			VS 10, 163
P342972	OB Liturgy			VS 10, 164
P342973	OB Liturgy			VS 10, 165
P342974	OB Liturgy	Uncertain	Inana-Dumuzi	VS 10, 166
P342975	OB Liturgy	Ershemma	Aruru-Dingirmah	VS 10, 167
P342976	OB Liturgy	Balag	Uncertain	VS 10, 168
P342977	OB Liturgy			VS 10, 169
P342978	OB Liturgy	Balag	Uncertain	VS 10, 170
P342980	OB Liturgy	Balag	Uncertain	VS 10, 172
P342981	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 173
P342982	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 174
P342983	OB Liturgy	Ershemma	Enlil	VS 10, 175
P342984	OB Liturgy	Balag	Inana-Dumuzi	VS 10, 176
P342986	OB Liturgy	Balag	Uncertain	VS 10, 178
P342987	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 179
P342988	OB Liturgy			VS 10, 180
P342989	OB Liturgy	Balag	Uncertain	VS 10, 181
P342990	OB Liturgy	Balag	Ninisina-Gula	VS 10, 182
P342991	OB Liturgy	Ershemma	Inana-Dumuzi	VS 10, 183
P342997	OB Liturgy			VS 10, 191
P343000	OB Liturgy		Enlil	VS 10, 195
P343003	OB Liturgy	Ershemma	Aruru-Dingirmah	VS 10, 198
P343004	OB Liturgy			VS 10, 199
P343006	OB Liturgy	Ershemma	Uncertain	VS 10, 201
P343016	OB Liturgy	Ershemma	Utu	VS 10, 211
P343021	OB Liturgy	Catalog		VS 10, 216
P343067	OB Liturgy	Balag	Inana-Dumuzi	VS 17, 48
P343070	OB Liturgy	Balag	Inana-Dumuzi	VS 17, 51
P343071	OB Liturgy			VS 17, 52
P347143	OB Liturgy		Enki	VS 24, 24
P347144	OB Liturgy			VS 24, 25
P433192	OB Liturgy	Shirnamshub?		X.3.220
P355670	OB Liturgy	Balag	Enlil	YBC 04659
P310385	OB Liturgy	Balag	Enlil	YBC 09838
P310399	OB Liturgy	Balag	Inana-Dumuzi	YBC 09862
P505941	OB Liturgy			YOS 22, 55
P312023	OB Liturgy			YOS 22, 56
P431312	OB Liturgy		Enlil	ZA 104, 153-154
P411136	OB Liturgy	letter		CUNES 50-07-013
