id_text	OB Liturgy	type	deity	designation
P462708	OB Liturgy		Inana-Dumuzi	CST 503
P345446	OB Liturgy	Ershemma	Enlil	CT 15, pl. 07-09, BM 029615
P345447	OB Liturgy	Ershemma	Enlil	CT 15, pl. 10, BM 013963
P345448	OB Liturgy	Ershemma	Enlil	CT 15, pl. 11-12, BM 029644
P345449	OB Liturgy	Ershemma	Enlil	CT 15, pl. 12-13
P345450	OB Liturgy	Ershemma	Nergal	CT 15, pl. 14, BM 022741
P345451	OB Liturgy	Ershemma	Iškur	CT 15, pl. 15-16, BM 029631
P345452	OB Liturgy	Ershemma	Nanna-Suen	CT 15, pl. 16-17, BM 13930
P345453	OB Liturgy	Ershemma	Inana-Dumuzi	CT 15, pl. 18, BM 015821
P345454	OB Liturgy	Ershemma	Inana-Dumuzi	CT 15, Pl. 19
P345455	OB Liturgy	Ershemma	Inana-Dumuzi	CT 15, pl. 20-21, BM 015795
P345456	OB Liturgy	Ershemma	Bau	CT 15, pl. 22, BM 085005
P345457	OB Liturgy	Ershemma	Inana-Dumuzi	CT 15, pl. 23, BM 023584
P345458	OB Liturgy	Balag	Inana-Dumuzi	CT 15, pl. 24-25, BM 023117
P345459	OB Liturgy	Balag	Inana-Dumuzi	CT 15, pl. 26-27, BM 023658
P345460	OB Liturgy		Inana-Dumuzi	CT 15, Pl. 28-29
P345461	OB Liturgy	Balag	Inana-Dumuzi	CT 15, pl. 30, BM 088384
P345504	OB Liturgy	Balag	Inana-Dumuzi	CT 36, pl. 35-38, BM 096933
P345506	OB Liturgy	Ershemma	Ninisina-Gula	CT 36, pl. 41-42, BM 096940
P345508	OB Liturgy	Balag	Enlil	CT 36, pl. 45-46, BM 096691
P345509	OB Liturgy	Balag	Aruru-Dingirmah	CT 36, pl. 47-50, BM 096681
P345507	OB Liturgy		Ninisina-Gula	CT 36, Pl.43-44 (BM 96684)
P283774	OB Liturgy	Balag	Enlil	CT 42, 03 BM 086536
P283739	OB Liturgy	Ershemma	Ninisina-Gula and Martu	CT 42, 07 BM 015793
P283778	OB Liturgy	Balag	Enki	CT 42, 08 BM 088288
P283770	OB Liturgy	Ershemma	Nanna-Suen	CT 42, 09 BM 085197
P283764	OB Liturgy	Ershemma	Iškur	CT 42, 10 BM 065145
P283740	OB Liturgy	Shirnamshub	Inana	CT 42, 13
P283743	OB Liturgy	Balag	Inana-Dumuzi	CT 42, 14 BM 016385
P283775	OB Liturgy	Balag	Inana-Dumuzi	CT 42, 15 BM 087518
P283771	OB Liturgy	Ershemma	Inana-Dumuzi	CT 42, 16 BM 085198
P283757	OB Liturgy	Ershemma	Ninisina-Gula	CT 42, 19 BM 029617
P283773	OB Liturgy	Balag	Inana-Dumuzi	CT 42, 26 BM 085204
P283742	OB Liturgy	Balag	Inana-Dumuzi	CT 42, 33 BM 015822
P283769	OB Liturgy			CT 42, 37 BM 077952
P283745	OB Liturgy	Balag	Ninisina-Gula	CT 42, 38 BM 016901
P283776	OB Liturgy		Šulpae	CT 42, 43 BM 087594
P283761	OB Liturgy	Balag	Inana-Dumuzi	CT 42, 48 BM 054707
P345521	OB Liturgy	Balag	Enki	CT 44, 12
P345522	OB Liturgy	Balag	Inana-Dumuzi	CT 44, 13
P345523	OB Liturgy	Ershahunga	Uncertain	CT 44, 14
P345524	OB Liturgy	Ershemma	Inana-Dumuzi	CT 44, 15
P345525	OB Liturgy	Shirnamshub	Nanna	CT 44, 16
P345533	OB Liturgy			CT 44, 24
P274196	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 01
P274197	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 02
P274198	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 03
P274199	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 04
P274200	OB Liturgy	Ershemma	Ninhursag	CT 58, 05
P274201	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 06
P274202	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 07
P274203	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 08 +
P274204	OB Liturgy		Damu	CT 58, 09
P274206	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 11
P274207	OB Liturgy			CT 58, 12
P274208	OB Liturgy			CT 58, 13
P274209	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 14
P274210	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 15
P274211	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 16
P274212	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 17
P274213	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 18
P274214	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 19
P274215	OB Liturgy	Balag	Nin-nigingara	CT 58, 20
P274216	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 21
P274226	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 31
P274227	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 32
P274228	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 33
P274229	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 34
P274230	OB Liturgy	Balag	Enlil	CT 58, 35
P274231	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 36
P274232	OB Liturgy	Ershemma	Ninisina-Gula	CT 58, 37
P274233	OB Liturgy	Balag	Ninurta	CT 58, 38
P274234	OB Liturgy	Balag	Enlil	CT 58, 39 +
P274235	OB Liturgy	Ershahunga		CT 58, 40
P274236	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 41
P274237	OB Liturgy	Ershemma	Inana-Dumuzi	CT 58, 42
P274239	OB Liturgy		Nanna	CT 58, 44
P274257	OB Liturgy			CT 58, 61
P274267	OB Liturgy		Enki	CT 58, 70
P274268	OB Liturgy	Balag	Inana-Dumuzi	CT 58, 71
P274270	OB Liturgy	Ershemma	Enlil	CT 58, 73
P274271	OB Liturgy		Iškur	CT 58, 74
P274275	OB Liturgy	Ershemma	Šulpae	CT 58, 78
P412174	OB Liturgy	Balag	Aruru-Dingirmah	CTMMA 2, 001
P260882	OB Liturgy		Inana-Dumuzi	Dumuzi-Inana Y source A
P256805	OB Liturgy		Inana-Dumuzi	Dumuzi-Inana Y source B
P345955	OB Liturgy		Inana	FLP 2627
P355674	OB Liturgy	Balag	Ninisina-Gula	Fs Birot 128-129
P265634	OB Liturgy	Balag	Enlil	Fs Civil90, 091-102
P355696	OB Liturgy	Ershemma	Lisin	Fs Kraus 134-135
P315421	OB Liturgy	Balag	Nanna-Suen	FT 2, AO 12999
P315432	OB Liturgy	Balag	Inana-Dumuzi	FT 2, AO 13013
P355702	OB Liturgy	Balag	Inana-Dumuzi	H 0002
P355727	OB Liturgy	Ershahunga	Personal Deity	Haddad 0152 + 175
P266078	OB Liturgy	Balag	Inana-Dumuzi	HAV 447, 03
P259294	OB Liturgy	Balag	Ninisina-Gula	HAV 449, 13
P259314	OB Liturgy	Balag	Ninisina-Gula	HAV 450, 14
P266495	OB Liturgy	Balag	Nergal	HAV 450, 15
P345619	OB Liturgy		Inana-Dumuzi	HS 1429 +
P345726	OB Liturgy		Inana-Dumuzi	HS 1457 +
P345620	OB Liturgy		Inana-Dumuzi	HS 1486
X130504	OB Liturgy	Balag	Uncertain	HS 2509
X130505	OB Liturgy	Balag	Uncertain	HS 2660
X130502	OB Liturgy	Balag	Uncertain	HS 2729
X130503	OB Liturgy	Balag	Inana-Dumuzi	HS.2686
