id_text	acc	bit	cmt	desc	exc	feat	func	gods	lang	mre	mus	per	pid	pri	pro	pub	ritu	subs	tid	xid
P216414							Function uncertain		Sumerian	See Zimmern 1918-19 p55 and Krebernik 1984 p198	MRAH O.0084	ED IIIb		RIAA 51	prov. unclear	Cunningham 15			1	GC 19
P242007		iii 3-iv 3 (ending Semitic)			TM.75.G.02459		Therapeutic: releasing illness (gi -- syllabic writing for gig) caused by Enki	Nisaba	Sumerian	Krebernik 1984 no 28		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			2	GC 20
P242007		iv 4-v 2			TM.75.G.02459	Features part of divine dialogue	Therapeutic: releasing internal illness (šà-gi -- syllabic writing for gig)	None (but text is broken)	Sumerian	Krebernik 1984 no 10		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			3	GC 21
P242007		vi 3-vii 1			TM.75.G.02459		Therapeutic: releasing illness(-inducing) spell (na-gi -- syllabic writing for gig) possibly associated with Enki	Enki (in an unclear context)	Sumerian	Krebernik 1984 nos 25l, 25f		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			4	GC 22a
P241389					TM.75.G.01816		Therapeutic: releasing illness(-inducing) spell (na-gi -- syllabic writing for gig) possibly associated with Enki	Enki (in an unclear context)	Sumerian	Krebernik 1984 nos 25l, 25f		Ebla		ARET 5, 15	Ebla	Pettinato, G., OrAnt. 18, 343, tav. XXXVIII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 25 [1984]			1	GC 22b
P242007		viii 1-ix 3			TM.75.G.02459		Therapeutic: releasing knee/groin-ache (dùg-gi -- syllabic writing for gig) caused by the evil udug	Ningirim	Sumerian	Krebernik 1984 nos 24l, 24e		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			5	GC 23a
P241295		iii 2-v 1			TM.75.G.01722		Therapeutic: releasing knee/groin-ache (dùg-gi -- syllabic writing for gig) caused by the evil udug	Ningirim	Sumerian	Krebernik 1984 nos 24l, 24e		Ebla		ARET 5, 10	Ebla	Matthiae, P., Ebla: Un impero inciso nell’argilla (2nd ed.), tav. 64 (obv.) [1979]; Pettinato, G., OrAnt. 18, 342-343, tav. XXXVIII [1979]; Matthiae, P., Ebla: Un impero inciso nell’argilla,, tav. 47 (obv.) [1979]; Mander, P., Or. 48, 335 n. 2, 336-339 [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 1.24 [1984]; Matthiae, P., I tesori di Ebla, tav. 27c (obv.) [1984]			2	GC 23b
P242007		ix 4-x 4 (language uncertain)			TM.75.G.02459		Function uncertain	Enlil	Sumerian	Krebernik 1984 no 31		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			6	GC 24
P242007		xiii 2-xiv 7			TM.75.G.02459		Therapeutic: releasing illness (gi and dúr -- syllabic writings for gig and tur5)	Enki	Sumerian	Krebernik 1984 no 34		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			7	GC 25
P242007		xiv 8-xv 7 (ending Semitic)			TM.75.G.02459		Possibly protective: reference to snake associated with Enki	Enki, Šamaš (both in an unclear context)	Sumerian	Krebernik 1984 no 35		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			8	GC 26
P242007		xv 8-xvii 5			TM.75.G.02459		Possibly protective: references to snake and dog associated with Enki	Enki (in an unclear context)	Sumerian	Krebernik 1984 no 36		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			9	GC 27
