id_text	acc	bit	cmt	desc	exc	feat	func	gods	lang	mre	mus	per	pid	pri	pro	pub	ritu	subs	tid	xid
P265697						Features divine dialogue	Pregnancy-related	Asalluḫi, Enki	Sumerian	Finkel 1980 texts A, B (see also van Dijk 1985 no 40)	CBS 10489+	Old Babylonian		AfO 27 p38, CBS 10489+	Nippur	Finkel AfO 27, p.37		Subscript (73b): ka-inim-ma idim-ka-kéš-da-kam (for sealing a source at the 'mouth')		GC 73a
P306703						Features divine dialogue	Pregnancy-related	Asalluḫi, Enki	Sumerian	Finkel 1980 texts A, B (see also van Dijk 1985 no 40)	YBC 05636	Old Babylonian		YOS 11, 40	prov. unclear	cfFinkel, AfO 27, 1980, 37ff		Subscript (73b): ka-inim-ma idim-ka-kéš-da-kam (for sealing a source at the 'mouth')	1	GC 73b
P355877		i 1'-12'				Features priestly legitimation	Directed against the evil udug	Damgalnunna, Enki	Sumerian	Geller 1985 1-12 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear				1	GC 74
P355877		i 13'-ii 19'				Features priestly legitimation, divine oath and oath by heaven and the underworld	Directed against the evil udug	Enki, Ningirsu	Sumerian	Geller 1985 13-54 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: [k]a-inim-⌈ma⌉ á-sàg ka-ké[š t]u-ra l[ú…] (for the asag, binding of illness […])	2	GC 75
P355877		ii 20'-37'				Features priestly legitimation, divine oath and oath by heaven and the underworld	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 55-72 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: k[a-inim-ma…] šà NE [x-x]	3	GC 76
P355877		ii 38'-iii 2'				Features priestly legitimation and oath by heaven and the underworld	Directed against the evil udug	Enki, Ninurta, Utu	Sumerian	Geller 1985 73-89 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: ka-i[nim-ma…]	4	GC 77
P355877		iii 3'-9'				Features priestly legitimation	Directed against the evil udug	Enki, Nammu	Sumerian	Geller 1985 90-98 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear				5	GC 78
P355877		iii 10'-27'				Features priestly legitimation and oath by heaven and the underworld	Directed against the evil udug	Asalluḫi, Damgalnunna, Enki	Sumerian	Geller 1985 99-119 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: k[a-inim-ma…]	6	GC 79
P355877		iv 1'-9'				Features oath by heaven and the underworld	Directed against the evil udug	None (but text is broken)	Sumerian	Geller 1985 120-28 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: ka-inim-ma e-[sír dib-bé-da-kam] (for going down the street)	7	GC 80
P355877		iv 10'-v 5'				Features praise of cornel and oath by heaven and the underworld	Directed against the evil udug	None (but text is broken)	Sumerian	Geller 1985 129-38 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: ka-in[im-ma…]	8	GC 81
P355877		v 6'-19'				Features priestly legitimation	Directed against the evil udug	Asalluḫi, Nammu	Sumerian	Geller 1985 139-52 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear				9	GC 82
P355877		vi 1-16				Features divine dialogue and priestly legitimation	Directed against the evil udug	Asalluḫi, Damgalnunna, Enki	Sumerian	Geller 1985 153-68 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: ka-inim-ma e-sír dib-bé-da-kam (for going down the street)	10	GC 83
P355877		vi 17-55				Features divine dialogue and priestly legitimation	Directed against the evil udug	Asalluḫi, Damgalnunna, Enki	Sumerian	Geller 1985 169-208 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear				11	GC 84
P355877		vii 1-28				Features priestly legitimation, divine oath and oath by heaven and the underworld	Directed against the evil udug	Asalluḫi, Damgalnunna, Enki, Ḫendursag, Nammu, Nanše	Sumerian	Geller 1985 209-33 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: [k]a-inim-ma e-sír dib-bé-da-kam (for going down the street)	12	GC 85
P355877		vii 43-viii 35					Directed against the evil udug	None (but text is broken)	Sumerian	Geller 1985 246-95 A	Ni 0623 + 2320	Old Babylonian		FAOS 12 A	prov. unclear			Subscript: [ka-inim-ma udug-ḫul]-⌈a⌉-kam (for the evil udug)	13	GC 86
P355878		i 1-11					Directed against the evil udug	Ninurta	Sumerian	Geller 1985 376a-84 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: ka-inim-ma udug-ḫul-a-kam (for the evil udug)	1	GC 87
P355878		i 12-28				Features divine oath and oath by heaven and the underworld	Directed against the evil udug	Ḫendursag	Sumerian	Geller 1985 385-399 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: ka-inim-ma ⌈udug⌉-ḫul-a-kam (for the evil udug)	2	GC 88
P355878		i 29-49				Features oath by heaven and the underworld	Directed against the evil udug	None	Sumerian	Geller 1985 400-19 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: k[a-inim-ma udug-ḫul]-a-kam (for the evil udug)	3	GC 89
P355878		i 50-ii 26				Features oath by heaven and the underworld	Directed against the evil udug	None	Sumerian	Geller 1985 420-50 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: [ka-inim-m]a [udug]-⌈ḫul-a⌉-[kam] (for the evil udug)	4	GC 90
P355878		ii 27-43					Directed against the evil udug	None	Sumerian	Geller 1985 451-67 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: k[a-inim-ma udu]g-ḫul-a-kam (for the evil udug)	5	GC 91
P355878		ii 44-iii 45				Features divine dialogue, divine oath and oath by heaven and the underworld	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 691-746 B, E	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript (92b): ka-inim-ma u[dug-ḫul-a-k]am (for the evil udug)	6	GC 92a
P258045		iii 20-v 30				Features divine dialogue, divine oath and oath by heaven and the underworld	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 691-746 B, E	CBS 00591	Old Babylonian		PBS 1/2, 127	prov. unclear	Geller, UDUG-HUL, p. 18; PBS 1/2 127,pp.35-40		Subscript (92b): ka-inim-ma u[dug-ḫul-a-k]am (for the evil udug)	2	GC 92b
P355878		iii 46-iv 24				Features divine dialogue	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 767-95 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: ka-inim-m[a udug-ḫul-a-kam] (for the evil udug)	7	GC 93
P355878		vi 1'-11'				Features oath by heaven and the underworld	Directed against the evil udug	None (but text is broken)	Sumerian	Geller 1985 585-95 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: k[a-inim-ma udug-ḫul-a-kam] (for the evil udug)	8	GC 94
P355878		vi 12'-47'				Features oath by heaven and the underworld	Directed against the evil udug	None	Sumerian	Geller 1985 596-615 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: ka-inim-ma udug-ḫ[ul-a-kam] (for the evil udug)	9	GC 95
P355878		vii 1'-32'				Features oath by heaven and the underworld	Directed against the evil udug	Asalluḫi	Sumerian	Geller 1985 616-45 B	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript: ka-inim-ma udug-ḫul-a-kam (for the evil udug)	10	GC 96
P355878		vii 33'-  viii 38'				Features divine dialogue and divine oath	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 646-90 B, I, J, E (Römer 1987 p196ff)	Ni 0631	Old Babylonian		FAOS 12 B	prov. unclear			Subscript (97a): ka-inim-ma u[dug-ḫu]l-a-kam (for the evil udug)	11	GC 97a
P345537						Features divine dialogue and divine oath	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 646-90 B, I, J, E (Römer 1987 p196ff)	BM 092671	Old Babylonian		CT 44, 28	prov. unclear			Subscript (97a): ka-inim-ma u[dug-ḫu]l-a-kam (for the evil udug)	1	GC 97b
P345538						Features divine dialogue and divine oath	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 646-90 B, I, J, E (Römer 1987 p196ff)	BM 078375	Old Babylonian		CT 44, 29	prov. unclear			Subscript (97a): ka-inim-ma u[dug-ḫu]l-a-kam (for the evil udug)	1	GC 97c
P258045		i 1-iii 19				Features divine dialogue and divine oath	Directed against the evil udug	Asalluḫi, Enki	Sumerian	Geller 1985 646-90 B, I, J, E (Römer 1987 p196ff)	CBS 00591	Old Babylonian		PBS 1/2, 127	prov. unclear	Geller, UDUG-HUL, p. 18; PBS 1/2 127,pp.35-40		Subscript (97a): ka-inim-ma u[dug-ḫu]l-a-kam (for the evil udug)	1	GC 97d
P267067						Features divine dialogue	Directed against witchcraft	An, Asalluḫi, Enki, Utu	Sumerian	Geller 1989 texts d, c	CBS 11933	Ur III		Geller 1989 pp204-05, CBS 11933	Nippur	(unpub. ms. Utukku lemnutu)				GC 98a
P355873						Features divine dialogue	Directed against witchcraft	An, Asalluḫi, Enki, Utu	Sumerian	Geller 1989 texts d, c	Rylands Box 24 P28	Old Babylonian		AfO 24 pl. 2, John Rylands Library,  Box 24 P28	prov. unclear				1	GC 98b
P355882									Sumerian	Unedited fragment	Ni 4455	Old Babylonian		ISET 1 p156, Ni 4455	prov. unclear				1	GC 99
P355883		obv							Sumerian	Unedited fragment	Ni 9844	Old Babylonian		ISET 1 p199, Ni 9844	prov. unclear				1	GC 100
P355883		rev							Sumerian	Unedited fragment	Ni 9844	Old Babylonian		ISET 1 p199, Ni 9844	prov. unclear				2	GC 101
P279099					N 4237	Features praise of torch as divine purifier	Consecration	Asalluḫi, Enki	Sumerian	Michalowski 1993 texts B, C, A	N 4237	Old Babylonian		Michalowski 1993 p162,  N 4237	Nippur			Subscript (102c): ka-inim-ma gi-izi-lá-[kam] (for the reed-torch)	1	GC 102a
P355888						Features praise of torch as divine purifier	Consecration	Asalluḫi, Enki	Sumerian	Michalowski 1993 texts B, C, A	BM 029383	Old Babylonian		Michalowski 1993 p162,  BM 29383	prov. unclear			Subscript (102c): ka-inim-ma gi-izi-lá-[kam] (for the reed-torch)	1	GC 102b
P309484						Features praise of torch as divine purifier	Consecration	Asalluḫi, Enki	Sumerian	Michalowski 1993 texts B, C, A	YBC 08649	Old Babylonian		YOS 11, 53	prov. unclear			Subscript (102c): ka-inim-ma gi-izi-lá-[kam] (for the reed-torch)	1	GC 102c
P276416		1266			N 1266		Directed against zé-illness (bile)	Enki, Ningirim	Sumerian	Michalowski 1981 texts B, D, A, C, E (Römer 1987 p202ff)	N 1266	Old Babylonian		Or 41 p357,  N 1266	Nippur	OrNS 41, p. 349;		Subscript (103c): ka-inim-ma zé-kam (for zé)		GC 103a
P265682							Directed against zé-illness (bile)	Enki, Ningirim	Sumerian	Michalowski 1981 texts B, D, A, C, E (Römer 1987 p202ff)	CBS 10474	Old Babylonian		ZA 71 p14,  CBS 10474	Nippur	Michalowski ZA 71, p.13		Subscript (103c): ka-inim-ma zé-kam (for zé)		GC 103b
P355889							Directed against zé-illness (bile)	Enki, Ningirim	Sumerian	Michalowski 1981 texts B, D, A, C, E (Römer 1987 p202ff)	BM 047859	Old Babylonian		Or 41 p357, BM 47859	prov. unclear			Subscript (103c): ka-inim-ma zé-kam (for zé)	1	GC 103c
P355892		44468					Directed against zé-illness (bile)	Enki, Ningirim	Sumerian	Michalowski 1981 texts B, D, A, C, E (Römer 1987 p202ff)	IM 044468	Old Babylonian		Or 41 p358,  IM 44468	prov. unclear			Subscript (103c): ka-inim-ma zé-kam (for zé)	1	GC 103d
P238185	K 02841 + K 09141 + K 16783						Directed against zé-illness (bile)	Enki, Ningirim	Sumerian	Michalowski 1981 texts B, D, A, C, E (Römer 1987 p202ff)	BM —	Neo-Assyrian		RA 53 p123,  K 9141+K 2841	Nineveh	cf. Lambert, RA 23 (1959) 122		Subscript (103c): ka-inim-ma zé-kam (for zé)	1	GC 103e
P125401						Features divine dialogue	Function uncertain	Enki	Sumerian	See Krebernik 1984 p232	CBS 08231	Ur III		PBS 1/2, 107	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation			1	GC 104
P125414							Directed against evil daimons	Enki, Enlil, seven heavens, seven udugs	Sumerian	Cavigneaux and Al-Rawi 1994 pp77-78	CBS 08235	Ur III		PBS 13, 33	Nippur				1	GC 105
P345180						Features divine dialogue	Birth-related	Asalluḫi, Gula, Enki	Sumerian	van Dijk 1971b p11 no 33, van Dijk 1975 p62ff	Ni 02722	Old Babylonian		SLTNi 49	Nippur		(Followed by Akkadian instructions for ritual)	Subscript (106b): KA.INIM.MA a-ru-úḫ-tum (for hastening)	1	GC 106a
P343052						Features divine dialogue	Birth-related	Asalluḫi, Gula, Enki	Sumerian	van Dijk 1971b p11 no 33, van Dijk 1975 p62ff	VAT 08381	Old Babylonian		VS 17, 33	prov. unclear		(Followed by Akkadian instructions for ritual)	Subscript (106b): KA.INIM.MA a-ru-úḫ-tum (for hastening)	1	GC 106b
P345286									Sumerian	Unedited fragment	Ni 04015	Old Babylonian		SLTNi 161	Nippur				1	GC 107
P268338		i' 1'							Sumerian	Unedited fragment	CBS 13256	Old Babylonian		STVC 10	Nippur	STVC 10			1	GC 108
P268338		i' 2'-iv' 8'					Function uncertain	Enki	Sumerian	See Cavigneaux and Al-Rawi 1993b p193	CBS 13256	Old Babylonian		STVC 10	Nippur	STVC 10			2	GC 109
P264354						Features divine dialogue	Directed against headache	Asalluḫi, Enki	Sumerian	See Michalowski 1981 p17	CBS 06927	Old Babylonian		STVC 11	Nippur	STVC 11			1	GC 110
P269139		1'-4'							Sumerian	Unedited fragment	CBS 14154	ED IIIb		STVC 12	Nippur	STVC 12(larger frag.)			1	GC 111
P269139		5'-9'							Sumerian	Unedited fragment	CBS 14154	ED IIIb		STVC 12	Nippur	STVC 12(larger frag.)			2	GC 112
P355881		v 2-12				Features praise of soap-plant as divine purifier	Consecration	None	Sumerian	Falkenstein 1931 pp99-100	Ni 2399	Old Babylonian		Unpublished, Ni 2399	prov. unclear				1	GC 113
P355881		v 13-22				Features praise of reed as divine purifier	Consecration	None	Sumerian	Falkenstein 1931 p79	Ni 2399	Old Babylonian		Unpublished,  Ni 2399	prov. unclear				2	GC 114
P355751	Bu 1888-05-12, 006					Features praise of Enki	Directed against curse-activated evil daimons and illnesses	Asalluḫi, Enki	Sumerian	Cooper 1971 text A (Römer 1987 p199ff)		Old Babylonian		CT 4, 3	prov. unclear			Subscript: [ka-inim]-ma nam-erím-búr-da-kam (for undoing a curse)		GC 115
P355752	Bu 1888-05-12, 007	obv				Features divine dialogue	Directed against headache	Asalluḫi, Enki	Sumerian	See Falkenstein 1931 p44		Old Babylonian		CT 4, 4	prov. unclear				1	GC 116
P355752	Bu 1888-05-12, 007	rev				Features divine dialogue	Directed against the galla	Asalluḫi, Enki	Sumerian	See Falkenstein 1931 p49 and Geller 1985 pp112-17		Old Babylonian		CT 4, 4	prov. unclear				2	GC 117
P345534						Features divine dialogue	Directed against witchcraft	Asalluḫi, Enki	Sumerian	See Nougayrol 1971 p158 note 1	BM 092669	Old Babylonian		CT 44, 25	prov. unclear			Subscript: [ka-in]im-ma ⌈tu-mušen-a-kam⌉ (for a dove)	1	GC 118
P345535							Directed against the asag	Enki	Sumerian	Unedited	BM 092670	Old Babylonian		CT 44, 26	prov. unclear			Subscript: ka-inim-ma máš-gaba-r[i-a-kam] (for a counterpart he-goat)	1	GC 119
P345536		1-19				Features divine dialogue	Directed against the asag	Asalluḫi, Enki, Ningirim	Sumerian	van Dijk 1967 p259ff (Kramer and Maier 1989 p110ff)	BM 092505	Old Babylonian		CT 44, 27	prov. unclear			Subscript: ka-inim-ma ud[u-lugal-ra]-⌈ku4⌉-ra-kam (for a sheep brought for the king)	1	GC 120
P345536		20-35					Directed against illness	Enki	Sumerian	See van Dijk 1985 p7	BM 092505	Old Babylonian		CT 44, 27	prov. unclear			Subscript: ka-inim-ma udu-ti-la-kam (for recovering (using) a sheep)	2	GC 121
P345539		obv				Features praise of oil as divine purifier	Consecration		Sumerian	See van Dijk 1967 pp244-45	BM 092508	Old Babylonian		CT 44, 30	prov. unclear			Subscript: [ka-inim-ma ì]-giš-kam (for the oil)	1	GC 122
P345539		rev				Features praise of oil as divine purifier	Consecration	Ningirim	Sumerian	Unedited	BM 092508	Old Babylonian		CT 44, 30	prov. unclear			Subscript: ka-inim-ma ì-giš-kam (for the oil)	2	GC 123
P345540						Features oath by heaven and the underworld	Directed against the gidim	Enki, Utu	Sumerian	Geller 1985 298-357 H	BM 078185	Old Babylonian		CT 44, 31	prov. unclear				1	GC 124
P345541		i 1'-v 6'				Features oaths by heaven and the underworld	Directed against evil daimons and illnesses	Asalluḫi, Enki, Gula, Ḫendursag, Ningirim, Ninurta, Utu	Sumerian	Borger 1969a text F (see also Borger 1969b and van Dijk 1985 no 93)	BM 078249	Old Babylonian		CT 44, 32+33	prov. unclear				1	GC 125a
P309545						Features oaths by heaven and the underworld	Directed against evil daimons and illnesses	Asalluḫi, Enki, Gula, Ḫendursag, Ningirim, Ninurta, Utu	Sumerian	Borger 1969a text F (see also Borger 1969b and van Dijk 1985 no 93)	YBC 08712	Old Babylonian		YOS 11, 93	prov. unclear				1	GC 125b
P345541		v 7'-vii 27'				Features divine oaths	Directed against evil daimons and illnesses	Various deities	Sumerian	See Borger 1969a p2	BM 078249	Old Babylonian		CT 44, 32+33	prov. unclear				2	GC 126
P345541		x							Sumerian	Unedited fragment	BM 078249	Old Babylonian		CT 44, 32+33	prov. unclear				6	GC 127
P345543						Features divine dialogue	Directed against witchcraft	Asalluḫi, Enki, Ningirim	Sumerian	Cavigneaux and Al-Rawi 1995 texts D, C	BM 078199	Old Babylonian		CT 44, 34	prov. unclear				1	GC 128a
P274276						Features divine dialogue	Directed against witchcraft	Asalluḫi, Enki, Ningirim	Sumerian	Cavigneaux and Al-Rawi 1995 texts D, C	BM 096704	Old Babylonian		CT 58, 79	Sippar				1	GC 128b
P274274							Function uncertain	None	Sumerian	Unedited	BM 080583	Old Babylonian		CT 58, 77	Sippar				1	GC 129
P347164		obv							Sumerian	Unedited fragment		Old Babylonian		VS 24, 45	Babylon				1	GC 130
P347164		rev 1'-9'					Agricultural	Asalluḫi, Enki	Sumerian	See van Dijk and Mayer 1987 p11		Old Babylonian		VS 24, 45	Babylon			Subscript: ka-inim-ma uḫ-gu7-giš-ḫašḫur-giš-ḫašḫur-zi-zi-[re-da-kam] (for expelling fruit-worm)	2	GC 131
P347166		obv				Features divine dialogue	Directed against the galla	Asalluḫi, Enki	Sumerian	See George 1989 p379ff		Old Babylonian		VS 24, 46+47+48+50+51	Babylon				1	GC 132
P347166		rev				Features divine dialogue	Agricultural: directed against field-pests	Asalluḫi, Enki	Sumerian	See George 1989 p379ff		Old Babylonian		VS 24, 46+47+48+50+51	Babylon				2	GC 133
P347171		obv							Sumerian	Unedited fragment		Old Babylonian		VS 24, 52	Babylon				1	GC 134
P347171		rev i' 1'-ii' 10'					Consecration	Asalluḫi, Enki, Ningirim	Sumerian	See van Dijk and Mayer 1987 p11		Old Babylonian		VS 24, 52	Babylon			Subscript: ka-inim-ma gu-gada-lugal-kéš-da-kam (for tying the royal linen thread)	2	GC 135
P347171		rev ii' 11'-iii' 4'							Sumerian	Unedited fragment		Old Babylonian		VS 24, 52	Babylon				3	GC 136
P355910		1-8					Love-related	None	Sumerian	Wilcke 1985 1-8 and p208	IB 1554	Old Babylonian		ZA 75 facing p208, IB 1554	prov. unclear			Subscript (137b): ka-inim-ma ki-ág (for loving)	1	GC 137a
P305492		7-13 (Emesal Sumerian)					Love-related	None	Sumerian	Wilcke 1985 1-8 and p208	YBC 04183	Old Babylonian		YOS 11, 50	prov. unclear			Subscript (137b): ka-inim-ma ki-ág (for loving)	1	GC 137b
P355910		73-77					Love-related	None	Sumerian	Wilcke 1985 73-77	IB 1554	Old Babylonian		ZA 75 facing p208,  IB 1554	prov. unclear			Subscript: [KA.INIM.MA…]-hi-tim ša GA ša-qé-em (of the […] for pouring out milk)	7	GC 138
P355910		122-124					Love-related	None	Sumerian	Wilcke 1985 122-24	IB 1554	Old Babylonian		ZA 75 facing p208,  IB 1554	prov. unclear			Subscript: ka-inim-ma šika-e-sír-ka-límmu (for a potsherd from the crossroads)	11	GC 139
P343903							Possibly directed against snakes	None (but text is broken)	Sumerian	See van Dijk 1985 no 34		Old Babylonian		PRAK B 86	Kish					GC 140
P355900							Directed against snakes	None	Sumerian	See van Dijk 1985 no 34; DCS 158		Old Babylonian		Strassburger Keilschrifttexte 4	prov. unclear				1	GC 141
P355874						Features divine dialogue	Birth-related	Asalluḫi, Enki	Sumerian	van Dijk 1975 p69ff	Rylands Box 24 E06+24	Old Babylonian		AfO 24 pl.3, John Rylands Library, Box 24 E6+24	prov. unclear				1	GC 142
P258843		1509				Features divine dialogue	Pregnancy-related	Asalluḫi, Enki	Sumerian	Finkel 1980 text C i	CBS 01509	Old Babylonian		AfO 27 facing p38, CBS 1509	prov. unclear	AfO 27, pp. 38-40.		Subscript: ka-inim-ma munus-kéš-d[a]-kam (for sealing a woman)	1	GC 143
P258843		1509				Features divine dialogue	Pregnancy-related	Asalluḫi, Enki	Sumerian	Finkel 1980 text C ii	CBS 01509	Old Babylonian		AfO 27 facing p38, CBS 1509	prov. unclear	AfO 27, pp. 38-40.		Subscript: ka-inim-ma munus-ké[š-da-kam] (for sealing a woman)	2	GC 144
P258843		1509					Pregnancy-related	Nanše	Sumerian	Finkel 1980 text C iii	CBS 01509	Old Babylonian		AfO 27 facing p38, CBS 1509	prov. unclear	AfO 27, pp. 38-40.		Subscript: [k]a-⌈inim-ma⌉ munus-kéš-d[a-kam] (for sealing a woman)	3	GC 145
P258843		1509				Features divine dialogue	Pregnancy-related	Asalluḫi, Enki	Sumerian	Finkel 1980 text C iv	CBS 01509	Old Babylonian		AfO 27 facing p38, CBS 1509	prov. unclear	AfO 27, pp. 38-40.			4	GC 146
P307727		6706				Features divine dialogue	Directed against snakes	Asalluḫi, Enki	Sumerian	See Alster 1993 no 4	YBC 06706	Old Babylonian		ASJ  15 p7,  YBC 6706	prov. unclear	cf Alster, Dumuzi&amp;apos;s Dream 95				GC 147
P258013						Features praise of Utu	Directed against the gidim	Asalluḫi, Enki, Utu	Sumerian	Alster 1991 and 1992 text A	CBS 00563	Neo-Babylonian		ASJ  15 pp267-72,  CBS 563	prov. unclear	OA 8,p.1				GC 148
P355875						Features divine dialogue	Directed against the evil eye	Asalluḫi, Damu, Enki	Sumerian	Thomsen 1992 no 5 (see also Cavigneaux and Al-Rawi 1993b p195ff)	Edin 09-405-33	Old Babylonian		Geller, Studies Wilcke	prov. unclear				1	GC 149
P355876						Features divine dialogue	Love-related	Asalluḫi, Enki, Inanna	Sumerian	Falkenstein 1964 p113ff texts A, B (Römer 1987 p208ff and Leick 1994 pp196-97)	Edin 09-405-02	Old Babylonian		BL 4	prov. unclear				1	GC 150a
P355884						Features divine dialogue	Love-related	Asalluḫi, Enki, Inanna	Sumerian	Falkenstein 1964 p113ff texts A, B (Römer 1987 p208ff and Leick 1994 pp196-97)	Williams College 3	Old Babylonian		JCS 8 p146, Williams College 3	prov. unclear				1	GC 150b
P283741		i 16'-32'				Features praise of Nammu	Function uncertain	Nammu	Sumerian	See Kramer 1964 and 1970 no 6	BM 015820	Neo-Babylonian		CT 42, 6	prov. unclear				1	GC 151
P283741		i 33'-ii 22				Features praise of Asalluḫi	Function uncertain	Asalluḫi	Sumerian	See Kramer 1964 and 1970 no 6	BM 015820	Neo-Babylonian		CT 42, 6	prov. unclear				2	GC 152
P283741		iii 1-iv 1					Function uncertain	Utu	Sumerian	See Kramer 1964 and 1970 no 6	BM 015820	Neo-Babylonian		CT 42, 6	prov. unclear				4	GC 153
P283741		iv 11-31				Features divine praise, possibly of Enki	Function uncertain	None (but text is broken)	Sumerian	See Kramer 1964 and 1970 no 6	BM 015820	Neo-Babylonian		CT 42, 6	prov. unclear				6	GC 154
P355688		16003					Directed against evil daimons	Enki	Sumerian	Sauren 1968 (see also van Dijk 1985 no 90)	MAH 16003	Old Babylonian		Genava NS 16 p110,  MAH 16003; Cavigneaux ZA 85 (1995) fig. 1	prov. unclear					GC 155
P355887						Features divine dialogue	Birth-related	Asalluḫi, Enki, Ninḫursaga	Sumerian	Farber, G. 1984	E 47.190	Old Babylonian		JNES 43 p312,  E 47.190	prov. unclear		(Followed by Akkadian instructions for ritual)	Subscript: mu-úmu-ša-ap-ši-iq-tum (routine for a woman in difficult labour)	1	GC 156
P274727		i 1'-ii 11'							Sumerian	Unedited fragment		Old Babylonian		MVN 5, 302	prov. unclear				1	GC 157
P274727		ii 12'-iii 5'							Sumerian	Unedited fragment		Old Babylonian		MVN 5, 302	prov. unclear				2	GC 158
P274727		iii 6'-v 11'							Sumerian	Unedited fragment		Old Babylonian		MVN 5, 302	prov. unclear				3	GC 159
P274727		v 12'-vi 4'							Sumerian	Unedited fragment		Old Babylonian		MVN 5, 302	prov. unclear				4	GC 160
P274727		vi 5'-vii 9'							Sumerian	Unedited fragment		Old Babylonian		MVN 5, 302	prov. unclear				5	GC 161
P345800						Features divine dialogue, divine oath and oath by heaven and the underworld	Possibly directed against the galla	Asalluḫi, Enki, Enlil, Utu	Sumerian	Kramer 1976 no 19	Bod S 298	Old Babylonian		OECT 5, 19	prov. unclear				1	GC 162
P345801							Directed against internal illness	Enki	Sumerian	Kramer 1976 no 20	Bod S 299	Old Babylonian		OECT 5, 20	prov. unclear			Subscript: [ka]-inim-ma šà-gig-ga-kam (for internal illness)	1	GC 163
P345802						Features praise of torch as divine purifier	Consecration	None	Sumerian	Unedited	Bod S 301	Old Babylonian		OECT 5, 21	prov. unclear			Subscript: ka-inim-ma gi-izi-lá-kam (for the reed-torch)	1	GC 164
P345803		1-10				Features praise of torch as divine purifier	Consecration	None	Sumerian	Unedited	Bod S 297	Old Babylonian		OECT 5, 22	prov. unclear				1	GC 165
P345803		11-16				Features praise of torch as divine purifier	Consecration	None	Sumerian	Unedited	Bod S 297	Old Babylonian		OECT 5, 22	prov. unclear				2	GC 166
P345803		17-24				Features praise of torch as divine purifier	Consecration	None	Sumerian	Unedited	Bod S 297	Old Babylonian		OECT 5, 22	prov. unclear			Subscript: ka-inim-ma gi-⌈izi-lá⌉-kam (for the reed-torch)	3	GC 167
P345804						Features divine dialogue	Directed against internal illness associated with the wind	Asalluḫi, Enki	Sumerian	Kramer 1976 no 23	Bod S 296	Old Babylonian		OECT 5, 23	prov. unclear			Subscript: [k]a-inim-ma tu15-a-⌈kam⌉ (for the wind)	1	GC 168
P345805							Directed against snakes	Asalluḫi, Ningirim	Sumerian	Kramer 1976 no 24	Bod S 300	Old Babylonian		OECT 5, 24	prov. unclear			Subscript: [k]a-inim-ma muš-dab5-bé-d[a-kam] (for seizing a snake)	1	GC 169
P274669									Sumerian	Unedited fragment		Old Babylonian		OECT 11, 12	prov. unclear				1	GC 170
P355699		25145					Function uncertain		Sumerian	Michalowski 1985 text B	BM 025145	Old Babylonian		Or 54 p219,  BM 25145	prov. unclear					GC 171
P258045		vi					Directed against the evil udug	Asalluḫi, Ninisinna	Sumerian	Geller 1985 747-66 E	CBS 00591	Old Babylonian		PBS 1/2, 127	prov. unclear	Geller, UDUG-HUL, p. 18; PBS 1/2 127,pp.35-40			3	GC 172
